""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comment"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"	"exposure_material_1"	"exposure_material_2"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"signature_file"	"complete_signature_file"
""	"20160722-hipciof_gene_26755593"	"2016.07.22"	"hipciof_gene_5"	"peripheral blood mononuclear cell"	"RAPGEF2"	"gene expression"	"up"	"none"	"29"	"Days"	"2012"	"Imuvac"	""	"29d-0d"	"time of vaccination (first dose)"	"children (14-27m)"	"26755593"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"3"	"47"	"RAPGEF2"	"VO_0003144"	"VO_0004281"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_26755593_47.txt"	"hipciof_gene_complete_26755593_47.txt"
""	"20160722-hipciof_gene_26755593"	"2016.07.22"	"hipciof_gene_5"	"peripheral blood mononuclear cell"	"PSMF1"	"gene expression"	"up"	"none"	"29"	"Days"	"2012"	"Imuvac"	""	"29d-0d"	"time of vaccination (first dose)"	"children (14-27m)"	"26755593"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"3"	"47"	"PSMF1"	"VO_0003144"	"VO_0004281"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_26755593_47.txt"	"hipciof_gene_complete_26755593_47.txt"
""	"20160722-hipciof_gene_26755593"	"2016.07.22"	"hipciof_gene_5"	"peripheral blood mononuclear cell"	"ATP6V0C"	"gene expression"	"up"	"none"	"29"	"Days"	"2012"	"Imuvac"	""	"29d-0d"	"time of vaccination (first dose)"	"children (14-27m)"	"26755593"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"3"	"47"	"ATP6V0C"	"VO_0003144"	"VO_0004281"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_26755593_47.txt"	"hipciof_gene_complete_26755593_47.txt"
""	"20160722-hipciof_gene_26755593"	"2016.07.22"	"hipciof_gene_5"	"peripheral blood mononuclear cell"	"SLC4A1"	"gene expression"	"up"	"none"	"29"	"Days"	"2012"	"Imuvac"	""	"29d-0d"	"time of vaccination (first dose)"	"children (14-27m)"	"26755593"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"3"	"47"	"SLC4A1"	"VO_0003144"	"VO_0004281"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_26755593_47.txt"	"hipciof_gene_complete_26755593_47.txt"
""	"20160722-hipciof_gene_26755593"	"2016.07.22"	"hipciof_gene_5"	"peripheral blood mononuclear cell"	"TMOD1"	"gene expression"	"up"	"none"	"29"	"Days"	"2012"	"Imuvac"	""	"29d-0d"	"time of vaccination (first dose)"	"children (14-27m)"	"26755593"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"3"	"47"	"TMOD1"	"VO_0003144"	"VO_0004281"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_26755593_47.txt"	"hipciof_gene_complete_26755593_47.txt"
""	"20160722-hipciof_gene_26755593"	"2016.07.22"	"hipciof_gene_5"	"peripheral blood mononuclear cell"	"TSPAN5"	"gene expression"	"up"	"none"	"29"	"Days"	"2012"	"Imuvac"	""	"29d-0d"	"time of vaccination (first dose)"	"children (14-27m)"	"26755593"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"3"	"47"	"TSPAN5"	"VO_0003144"	"VO_0004281"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_26755593_47.txt"	"hipciof_gene_complete_26755593_47.txt"
""	"20160722-hipciof_gene_26755593"	"2016.07.22"	"hipciof_gene_5"	"peripheral blood mononuclear cell"	"CXCL10"	"gene expression"	"up"	"MF59-adjuvanted"	"29"	"Days"	"2012"	"Fluad"	""	"29d-0d"	"time of vaccination (first dose)"	"children (14-27m)"	"26755593"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"4"	"48"	"CXCL10"	"VO_0003144"	"VO_0004281"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_26755593_48.txt"	"hipciof_gene_complete_26755593_48.txt"
""	"20160722-hipciof_gene_26755593"	"2016.07.22"	"hipciof_gene_5"	"peripheral blood mononuclear cell"	"LAMP3"	"gene expression"	"up"	"MF59-adjuvanted"	"29"	"Days"	"2012"	"Fluad"	""	"29d-0d"	"time of vaccination (first dose)"	"children (14-27m)"	"26755593"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"4"	"48"	"LAMP3"	"VO_0003144"	"VO_0004281"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_26755593_48.txt"	"hipciof_gene_complete_26755593_48.txt"
""	"20160722-hipciof_gene_26755593"	"2016.07.22"	"hipciof_gene_5"	"peripheral blood mononuclear cell"	"RSAD2"	"gene expression"	"up"	"MF59-adjuvanted"	"29"	"Days"	"2012"	"Fluad"	""	"29d-0d"	"time of vaccination (first dose)"	"children (14-27m)"	"26755593"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"4"	"48"	"RSAD2"	"VO_0003144"	"VO_0004281"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_26755593_48.txt"	"hipciof_gene_complete_26755593_48.txt"
""	"20160722-hipciof_gene_26755593"	"2016.07.22"	"hipciof_gene_5"	"peripheral blood mononuclear cell"	"OAS3"	"gene expression"	"up"	"MF59-adjuvanted"	"29"	"Days"	"2012"	"Fluad"	""	"29d-0d"	"time of vaccination (first dose)"	"children (14-27m)"	"26755593"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"4"	"48"	"OAS3"	"VO_0003144"	"VO_0004281"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_26755593_48.txt"	"hipciof_gene_complete_26755593_48.txt"
""	"20160722-hipciof_gene_26755593"	"2016.07.22"	"hipciof_gene_5"	"peripheral blood mononuclear cell"	"IFI44L"	"gene expression"	"up"	"MF59-adjuvanted"	"29"	"Days"	"2012"	"Fluad"	""	"29d-0d"	"time of vaccination (first dose)"	"children (14-27m)"	"26755593"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"4"	"48"	"IFI44L"	"VO_0003144"	"VO_0004281"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_26755593_48.txt"	"hipciof_gene_complete_26755593_48.txt"
""	"20160722-hipciof_gene_26755593"	"2016.07.22"	"hipciof_gene_5"	"peripheral blood mononuclear cell"	"EFCAB2"	"gene expression"	"up"	"MF59-adjuvanted"	"29"	"Days"	"2012"	"Fluad"	""	"29d-0d"	"time of vaccination (first dose)"	"children (14-27m)"	"26755593"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"4"	"48"	"EFCAB2"	"VO_0003144"	"VO_0004281"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_26755593_48.txt"	"hipciof_gene_complete_26755593_48.txt"
""	"20160722-hipciof_gene_26755593"	"2016.07.22"	"hipciof_gene_5"	"peripheral blood mononuclear cell"	"VAMP5"	"gene expression"	"up"	"MF59-adjuvanted"	"29"	"Days"	"2012"	"Fluad"	""	"29d-0d"	"time of vaccination (first dose)"	"children (14-27m)"	"26755593"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"4"	"48"	"VAMP5"	"VO_0003144"	"VO_0004281"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_26755593_48.txt"	"hipciof_gene_complete_26755593_48.txt"
""	"20160722-hipciof_gene_26755593"	"2016.07.22"	"hipciof_gene_5"	"peripheral blood mononuclear cell"	"IL15"	"gene expression"	"up"	"MF59-adjuvanted"	"29"	"Days"	"2012"	"Fluad"	""	"29d-0d"	"time of vaccination (first dose)"	"children (14-27m)"	"26755593"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"4"	"48"	"IL15"	"VO_0003144"	"VO_0004281"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_26755593_48.txt"	"hipciof_gene_complete_26755593_48.txt"
""	"20160722-hipciof_gene_26755593"	"2016.07.22"	"hipciof_gene_5"	"peripheral blood mononuclear cell"	"SMCO4"	"gene expression"	"up"	"MF59-adjuvanted"	"29"	"Days"	"2012"	"Fluad"	""	"29d-0d"	"time of vaccination (first dose)"	"children (14-27m)"	"26755593"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"4"	"48"	"C11orf75"	"VO_0003144"	"VO_0004281"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_26755593_48.txt"	"hipciof_gene_complete_26755593_48.txt"
""	"20160722-hipciof_gene_26755593"	"2016.07.22"	"hipciof_gene_5"	"peripheral blood mononuclear cell"	"LHFPL2"	"gene expression"	"up"	"MF59-adjuvanted"	"29"	"Days"	"2012"	"Fluad"	""	"29d-0d"	"time of vaccination (first dose)"	"children (14-27m)"	"26755593"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"4"	"48"	"LHFPL2"	"VO_0003144"	"VO_0004281"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_26755593_48.txt"	"hipciof_gene_complete_26755593_48.txt"
""	"20160722-hipciof_gene_26755593"	"2016.07.22"	"hipciof_gene_5"	"peripheral blood mononuclear cell"	"CALHM6"	"gene expression"	"up"	"MF59-adjuvanted"	"29"	"Days"	"2012"	"Fluad"	""	"29d-0d"	"time of vaccination (first dose)"	"children (14-27m)"	"26755593"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"4"	"48"	"CALHM6"	"VO_0003144"	"VO_0004281"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_26755593_48.txt"	"hipciof_gene_complete_26755593_48.txt"
""	"20160722-hipciof_gene_26755593"	"2016.07.22"	"hipciof_gene_5"	"peripheral blood mononuclear cell"	"SCARF1"	"gene expression"	"up"	"MF59-adjuvanted"	"29"	"Days"	"2012"	"Fluad"	""	"29d-0d"	"time of vaccination (first dose)"	"children (14-27m)"	"26755593"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"4"	"48"	"SCARF1"	"VO_0003144"	"VO_0004281"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_26755593_48.txt"	"hipciof_gene_complete_26755593_48.txt"
""	"20160722-hipciof_gene_26755593"	"2016.07.22"	"hipciof_gene_5"	"peripheral blood mononuclear cell"	"MYOF"	"gene expression"	"up"	"MF59-adjuvanted"	"29"	"Days"	"2012"	"Fluad"	""	"29d-0d"	"time of vaccination (first dose)"	"children (14-27m)"	"26755593"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"4"	"48"	"MYOF"	"VO_0003144"	"VO_0004281"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_26755593_48.txt"	"hipciof_gene_complete_26755593_48.txt"
""	"20160722-hipciof_gene_26755593"	"2016.07.22"	"hipciof_gene_5"	"peripheral blood mononuclear cell"	"SORT1"	"gene expression"	"up"	"MF59-adjuvanted"	"29"	"Days"	"2012"	"Fluad"	""	"29d-0d"	"time of vaccination (first dose)"	"children (14-27m)"	"26755593"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"4"	"48"	"SORT1"	"VO_0003144"	"VO_0004281"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_26755593_48.txt"	"hipciof_gene_complete_26755593_48.txt"
""	"20160722-hipciof_gene_26755593"	"2016.07.22"	"hipciof_gene_5"	"peripheral blood mononuclear cell"	"TYMP"	"gene expression"	"up"	"MF59-adjuvanted"	"29"	"Days"	"2012"	"Fluad"	""	"29d-0d"	"time of vaccination (first dose)"	"children (14-27m)"	"26755593"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"4"	"48"	"TYMP"	"VO_0003144"	"VO_0004281"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_26755593_48.txt"	"hipciof_gene_complete_26755593_48.txt"
""	"20160722-hipciof_gene_26755593"	"2016.07.22"	"hipciof_gene_5"	"peripheral blood mononuclear cell"	"ATF3"	"gene expression"	"up"	"MF59-adjuvanted"	"29"	"Days"	"2012"	"Fluad"	""	"29d-0d"	"time of vaccination (first dose)"	"children (14-27m)"	"26755593"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"4"	"48"	"ATF3"	"VO_0003144"	"VO_0004281"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_26755593_48.txt"	"hipciof_gene_complete_26755593_48.txt"
""	"20160722-hipciof_gene_26755593"	"2016.07.22"	"hipciof_gene_5"	"peripheral blood mononuclear cell"	"TFEC"	"gene expression"	"up"	"MF59-adjuvanted"	"29"	"Days"	"2012"	"Fluad"	""	"29d-0d"	"time of vaccination (first dose)"	"children (14-27m)"	"26755593"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"4"	"48"	"TFEC"	"VO_0003144"	"VO_0004281"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_26755593_48.txt"	"hipciof_gene_complete_26755593_48.txt"
""	"20160722-hipciof_gene_26755593"	"2016.07.22"	"hipciof_gene_5"	"peripheral blood mononuclear cell"	"CEACAM1"	"gene expression"	"up"	"MF59-adjuvanted"	"29"	"Days"	"2012"	"Fluad"	""	"29d-0d"	"time of vaccination (first dose)"	"children (14-27m)"	"26755593"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"4"	"48"	"CEACAM1"	"VO_0003144"	"VO_0004281"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_26755593_48.txt"	"hipciof_gene_complete_26755593_48.txt"
""	"20160722-hipciof_gene_26755593"	"2016.07.22"	"hipciof_gene_5"	"peripheral blood mononuclear cell"	"EPSTI1"	"gene expression"	"up"	"MF59-adjuvanted"	"29"	"Days"	"2012"	"Fluad"	""	"29d-0d"	"time of vaccination (first dose)"	"children (14-27m)"	"26755593"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"4"	"48"	"EPSTI1"	"VO_0003144"	"VO_0004281"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_26755593_48.txt"	"hipciof_gene_complete_26755593_48.txt"
""	"20160722-hipciof_gene_26755593"	"2016.07.22"	"hipciof_gene_5"	"peripheral blood mononuclear cell"	"LAP3"	"gene expression"	"up"	"MF59-adjuvanted"	"29"	"Days"	"2012"	"Fluad"	""	"29d-0d"	"time of vaccination (first dose)"	"children (14-27m)"	"26755593"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"4"	"48"	"LAP3"	"VO_0003144"	"VO_0004281"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_26755593_48.txt"	"hipciof_gene_complete_26755593_48.txt"
""	"20160722-hipciof_gene_26755593"	"2016.07.22"	"hipciof_gene_5"	"peripheral blood mononuclear cell"	"FBXO6"	"gene expression"	"up"	"MF59-adjuvanted"	"29"	"Days"	"2012"	"Fluad"	""	"29d-0d"	"time of vaccination (first dose)"	"children (14-27m)"	"26755593"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"4"	"48"	"FBXO6"	"VO_0003144"	"VO_0004281"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_26755593_48.txt"	"hipciof_gene_complete_26755593_48.txt"
""	"20160722-hipciof_gene_26755593"	"2016.07.22"	"hipciof_gene_5"	"peripheral blood mononuclear cell"	"STAT1"	"gene expression"	"up"	"MF59-adjuvanted"	"29"	"Days"	"2012"	"Fluad"	""	"29d-0d"	"time of vaccination (first dose)"	"children (14-27m)"	"26755593"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"4"	"48"	"STAT1"	"VO_0003144"	"VO_0004281"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_26755593_48.txt"	"hipciof_gene_complete_26755593_48.txt"
""	"20160722-hipciof_gene_26755593"	"2016.07.22"	"hipciof_gene_5"	"peripheral blood mononuclear cell"	"IFI35"	"gene expression"	"up"	"MF59-adjuvanted"	"29"	"Days"	"2012"	"Fluad"	""	"29d-0d"	"time of vaccination (first dose)"	"children (14-27m)"	"26755593"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"4"	"48"	"IFI35"	"VO_0003144"	"VO_0004281"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_26755593_48.txt"	"hipciof_gene_complete_26755593_48.txt"
""	"20160722-hipciof_gene_26755593"	"2016.07.22"	"hipciof_gene_5"	"peripheral blood mononuclear cell"	"CD58"	"gene expression"	"up"	"MF59-adjuvanted"	"29"	"Days"	"2012"	"Fluad"	""	"29d-0d"	"time of vaccination (first dose)"	"children (14-27m)"	"26755593"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"5"	"49"	"CD58"	"VO_0003144"	"VO_0004281"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_26755593_49.txt"	"hipciof_gene_complete_26755593_49.txt"
""	"20160722-hipciof_gene_26755593"	"2016.07.22"	"hipciof_gene_5"	"peripheral blood mononuclear cell"	"C1QC"	"gene expression"	"up"	"MF59-adjuvanted"	"29"	"Days"	"2012"	"Fluad"	""	"29d-0d"	"time of vaccination (first dose)"	"children (14-27m)"	"26755593"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"5"	"49"	"C1QC"	"VO_0003144"	"VO_0004281"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_26755593_49.txt"	"hipciof_gene_complete_26755593_49.txt"
""	"20160722-hipciof_gene_26755593"	"2016.07.22"	"hipciof_gene_5"	"peripheral blood mononuclear cell"	"LY96"	"gene expression"	"up"	"MF59-adjuvanted"	"29"	"Days"	"2012"	"Fluad"	""	"29d-0d"	"time of vaccination (first dose)"	"children (14-27m)"	"26755593"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"5"	"49"	"LY96"	"VO_0003144"	"VO_0004281"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_26755593_49.txt"	"hipciof_gene_complete_26755593_49.txt"
""	"20160722-hipciof_gene_26755593"	"2016.07.22"	"hipciof_gene_5"	"peripheral blood mononuclear cell"	"C1QA"	"gene expression"	"up"	"MF59-adjuvanted"	"29"	"Days"	"2012"	"Fluad"	""	"29d-0d"	"time of vaccination (first dose)"	"children (14-27m)"	"26755593"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"5"	"49"	"C1QA"	"VO_0003144"	"VO_0004281"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_26755593_49.txt"	"hipciof_gene_complete_26755593_49.txt"
""	"20160722-hipciof_gene_26755593"	"2016.07.22"	"hipciof_gene_5"	"peripheral blood mononuclear cell"	"CD86"	"gene expression"	"up"	"MF59-adjuvanted"	"29"	"Days"	"2012"	"Fluad"	""	"29d-0d"	"time of vaccination (first dose)"	"children (14-27m)"	"26755593"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"5"	"49"	"CD86"	"VO_0003144"	"VO_0004281"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_26755593_49.txt"	"hipciof_gene_complete_26755593_49.txt"
""	"20160722-hipciof_gene_26755593"	"2016.07.22"	"hipciof_gene_5"	"peripheral blood mononuclear cell"	"C1QB"	"gene expression"	"up"	"MF59-adjuvanted"	"29"	"Days"	"2012"	"Fluad"	""	"29d-0d"	"time of vaccination (first dose)"	"children (14-27m)"	"26755593"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"5"	"49"	"C1QB"	"VO_0003144"	"VO_0004281"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_26755593_49.txt"	"hipciof_gene_complete_26755593_49.txt"
""	"20160722-hipciof_gene_26755593"	"2016.07.22"	"hipciof_gene_5"	"peripheral blood mononuclear cell"	"TYROBP"	"gene expression"	"up"	"MF59-adjuvanted"	"29"	"Days"	"2012"	"Fluad"	""	"29d-0d"	"time of vaccination (first dose)"	"children (14-27m)"	"26755593"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"5"	"49"	"TYROBP"	"VO_0003144"	"VO_0004281"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_26755593_49.txt"	"hipciof_gene_complete_26755593_49.txt"
""	"20160722-hipciof_gene_26755593"	"2016.07.22"	"hipciof_gene_5"	"peripheral blood mononuclear cell"	"SIRPA"	"gene expression"	"up"	"MF59-adjuvanted"	"29"	"Days"	"2012"	"Fluad"	""	"29d-0d"	"time of vaccination (first dose)"	"children (14-27m)"	"26755593"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"5"	"49"	"SIRPA"	"VO_0003144"	"VO_0004281"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_26755593_49.txt"	"hipciof_gene_complete_26755593_49.txt"
""	"20160722-hipciof_gene_26755593"	"2016.07.22"	"hipciof_gene_5"	"peripheral blood mononuclear cell"	"HLA-DQA1"	"gene expression"	"up"	"MF59-adjuvanted"	"29"	"Days"	"2012"	"Fluad"	""	"29d-0d"	"time of vaccination (first dose)"	"children (14-27m)"	"26755593"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"5"	"49"	"HLA-DQA1"	"VO_0003144"	"VO_0004281"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_26755593_49.txt"	"hipciof_gene_complete_26755593_49.txt"
""	"20160722-hipciof_gene_26755593"	"2016.07.22"	"hipciof_gene_5"	"peripheral blood mononuclear cell"	"NFKBIA"	"gene expression"	"up"	"MF59-adjuvanted"	"29"	"Days"	"2012"	"Fluad"	""	"29d-0d"	"time of vaccination (first dose)"	"children (14-27m)"	"26755593"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"5"	"49"	"NFKBIA"	"VO_0003144"	"VO_0004281"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_26755593_49.txt"	"hipciof_gene_complete_26755593_49.txt"
""	"20160722-hipciof_gene_26755593"	"2016.07.22"	"hipciof_gene_5"	"peripheral blood mononuclear cell"	"TNFAIP3"	"gene expression"	"up"	"MF59-adjuvanted"	"29"	"Days"	"2012"	"Fluad"	""	"29d-0d"	"time of vaccination (first dose)"	"children (14-27m)"	"26755593"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"5"	"49"	"TNFAIP3"	"VO_0003144"	"VO_0004281"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_26755593_49.txt"	"hipciof_gene_complete_26755593_49.txt"
