""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"response_agent_original"	"exposure_material_1"	"exposure_material_2"	"target_pathogen_1"	"target_pathogen_2"	"signature_file"	"complete_signature_file"
""	"20140219-hipciof_gene_23594957"	"2014.02.19"	"hipciof_gene_23"	"peripheral blood mononuclear cell"	"HIST1H1D"	"gene expression"	"up"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"2"	"142"	"HIST1H1D"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipciof_gene_23594957_142.txt"	"hipciof_gene_complete_23594957_142.txt"
""	"20140219-hipciof_gene_23594957"	"2014.02.19"	"hipciof_gene_23"	"peripheral blood mononuclear cell"	"HIST1H1E"	"gene expression"	"up"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"2"	"142"	"HIST1H1E"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipciof_gene_23594957_142.txt"	"hipciof_gene_complete_23594957_142.txt"
""	"20140219-hipciof_gene_23594957"	"2014.02.19"	"hipciof_gene_23"	"peripheral blood mononuclear cell"	"IL3"	"gene expression"	"up"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"2"	"142"	"IL3"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipciof_gene_23594957_142.txt"	"hipciof_gene_complete_23594957_142.txt"
""	"20140219-hipciof_gene_23594957"	"2014.02.19"	"hipciof_gene_23"	"peripheral blood mononuclear cell"	"HIST1H2AM"	"gene expression"	"up"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"2"	"142"	"HIST1H2AM"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipciof_gene_23594957_142.txt"	"hipciof_gene_complete_23594957_142.txt"
""	"20140219-hipciof_gene_23594957"	"2014.02.19"	"hipciof_gene_23"	"peripheral blood mononuclear cell"	"IFNB1"	"gene expression"	"up"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"2"	"142"	"IFNB1"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipciof_gene_23594957_142.txt"	"hipciof_gene_complete_23594957_142.txt"
""	"20140219-hipciof_gene_23594957"	"2014.02.19"	"hipciof_gene_23"	"peripheral blood mononuclear cell"	"EPHB3"	"gene expression"	"up"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"2"	"142"	"EPHB3"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipciof_gene_23594957_142.txt"	"hipciof_gene_complete_23594957_142.txt"
""	"20140219-hipciof_gene_23594957"	"2014.02.19"	"hipciof_gene_23"	"peripheral blood mononuclear cell"	"HIST1H2AE"	"gene expression"	"up"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"2"	"142"	"HIST1H2AE"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipciof_gene_23594957_142.txt"	"hipciof_gene_complete_23594957_142.txt"
""	"20140219-hipciof_gene_23594957"	"2014.02.19"	"hipciof_gene_23"	"peripheral blood mononuclear cell"	"HSPA6"	"gene expression"	"up"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"2"	"142"	"HSPA6"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipciof_gene_23594957_142.txt"	"hipciof_gene_complete_23594957_142.txt"
""	"20140219-hipciof_gene_23594957"	"2014.02.19"	"hipciof_gene_23"	"peripheral blood mononuclear cell"	"HIST1H2BG"	"gene expression"	"up"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"2"	"142"	"HIST1H2BG"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipciof_gene_23594957_142.txt"	"hipciof_gene_complete_23594957_142.txt"
""	"20140219-hipciof_gene_23594957"	"2014.02.19"	"hipciof_gene_23"	"peripheral blood mononuclear cell"	"RNF152"	"gene expression"	"up"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"2"	"142"	"RNF152"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipciof_gene_23594957_142.txt"	"hipciof_gene_complete_23594957_142.txt"
""	"20140219-hipciof_gene_23594957"	"2014.02.19"	"hipciof_gene_23"	"peripheral blood mononuclear cell"	"CH25H"	"gene expression"	"up"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"2"	"142"	"CH25H"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipciof_gene_23594957_142.txt"	"hipciof_gene_complete_23594957_142.txt"
""	"20140219-hipciof_gene_23594957"	"2014.02.19"	"hipciof_gene_23"	"peripheral blood mononuclear cell"	"HIST2H2AC"	"gene expression"	"up"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"2"	"142"	"HIST2H2AC"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipciof_gene_23594957_142.txt"	"hipciof_gene_complete_23594957_142.txt"
""	"20140219-hipciof_gene_23594957"	"2014.02.19"	"hipciof_gene_23"	"peripheral blood mononuclear cell"	"WFIKKN1"	"gene expression"	"up"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"2"	"142"	"WFIKKN1"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipciof_gene_23594957_142.txt"	"hipciof_gene_complete_23594957_142.txt"
""	"20140219-hipciof_gene_23594957"	"2014.02.19"	"hipciof_gene_23"	"peripheral blood mononuclear cell"	"LVRN"	"gene expression"	"up"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"2"	"142"	"LVRN"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipciof_gene_23594957_142.txt"	"hipciof_gene_complete_23594957_142.txt"
""	"20140219-hipciof_gene_23594957"	"2014.02.19"	"hipciof_gene_23"	"peripheral blood mononuclear cell"	"HIST1H2BN"	"gene expression"	"up"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"2"	"142"	"HIST1H2BN"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipciof_gene_23594957_142.txt"	"hipciof_gene_complete_23594957_142.txt"
""	"20140219-hipciof_gene_23594957"	"2014.02.19"	"hipciof_gene_23"	"peripheral blood mononuclear cell"	"IFNG"	"gene expression"	"up"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"2"	"142"	"IFNG"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipciof_gene_23594957_142.txt"	"hipciof_gene_complete_23594957_142.txt"
""	"20140219-hipciof_gene_23594957"	"2014.02.19"	"hipciof_gene_23"	"peripheral blood mononuclear cell"	"KIR2DL3"	"gene expression"	"down"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"high responders vs low responders"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"3"	"143"	"KIR2DL3"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipciof_gene_23594957_143.txt"	"hipciof_gene_complete_23594957_143.txt"
""	"20140219-hipciof_gene_23594957"	"2014.02.19"	"hipciof_gene_23"	"peripheral blood mononuclear cell"	"KIR2DL3"	"gene expression"	"down"	"high responders"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"4"	"144"	"KIR2DL3"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipciof_gene_23594957_144.txt"	"hipciof_gene_complete_23594957_144.txt"
""	"20140219-hipciof_gene_23594957"	"2014.02.19"	"hipciof_gene_23"	"peripheral blood mononuclear cell"	"KIR2DL3"	"gene expression"	"up"	"low responders"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"5"	"145"	"KIR2DL3"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipciof_gene_23594957_145.txt"	"hipciof_gene_complete_23594957_145.txt"
""	"20140219-hipciof_gene_23594957"	"2014.02.19"	"hipciof_gene_23"	"peripheral blood mononuclear cell"	"TPSD1"	"gene expression"	"up"	"high responders"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"6"	"146"	"TPSD1"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipciof_gene_23594957_146.txt"	"hipciof_gene_complete_23594957_146.txt"
""	"20140219-hipciof_gene_23594957"	"2014.02.19"	"hipciof_gene_23"	"peripheral blood mononuclear cell"	"TPSD1"	"gene expression"	"down"	"low responders"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"7"	"147"	"TPSD1"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipciof_gene_23594957_147.txt"	"hipciof_gene_complete_23594957_147.txt"
""	"20140219-hipciof_gene_23594957"	"2014.02.19"	"hipciof_gene_23"	"peripheral blood mononuclear cell"	"UNC13A"	"gene expression"	"down"	"low responders"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"8"	"148"	"UNC13A"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipciof_gene_23594957_148.txt"	"hipciof_gene_complete_23594957_148.txt"
""	"20140219-hipciof_gene_23594957"	"2014.02.19"	"hipciof_gene_23"	"peripheral blood mononuclear cell"	"KIR2DL3"	"gene expression"	"down"	"none"	""	""	""	"Vaccinia virus vaccine"	""	"high responders vs low responders"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3723701/"	"adults"	"18"	"40"	"years"	"9"	"380"	"KIR2DL3"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipciof_gene_23594957_380.txt"	"hipciof_gene_complete_23594957_380.txt"
""	"20140219-hipciof_gene_23594957"	"2014.02.19"	"hipciof_gene_23"	"peripheral blood mononuclear cell"	"KIR2DL3"	"gene expression"	"up"	"none"	"0"	"days"	""	"Vaccinia virus vaccine"	""	"low responders vs high responders"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3723701/"	"adults"	"18"	"40"	"years"	"10"	"381"	"KIR2DL3"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipciof_gene_23594957_381.txt"	"hipciof_gene_complete_23594957_381.txt"
""	"20140219-hipciof_gene_23594957"	"2014.02.19"	"hipciof_gene_23"	"peripheral blood mononuclear cell"	"UNC13A"	"gene expression"	"down"	"none"	""	""	""	"Vaccinia virus vaccine"	""	"high responders vs low responders"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3723701/"	"adults"	"18"	"40"	"years"	"11"	"382"	"UNC13A"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipciof_gene_23594957_382.txt"	"hipciof_gene_complete_23594957_382.txt"
