""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"	"exposure_material_1"	"exposure_material_2"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"signature_file"	"complete_signature_file"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"STK40"	"gene expression"	"up"	"none"	"1"	"Days"	"2010"	"FluMist"	""	"1d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"7"	"254"	"STK40"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_254.txt"	"hipciof_gene_complete_24495909_254.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"DSCC1"	"gene expression"	"up"	"none"	"1"	"Days"	"2010"	"FluMist"	""	"1d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"7"	"254"	"DSCC1"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_254.txt"	"hipciof_gene_complete_24495909_254.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"FLVCR1"	"gene expression"	"up"	"none"	"1"	"Days"	"2010"	"FluMist"	""	"1d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"7"	"254"	"FLVCR1"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_254.txt"	"hipciof_gene_complete_24495909_254.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"TRAPPC6B"	"gene expression"	"up"	"none"	"1"	"Days"	"2010"	"FluMist"	""	"1d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"7"	"254"	"TRAPPC6B"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_254.txt"	"hipciof_gene_complete_24495909_254.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"URB1"	"gene expression"	"up"	"none"	"1"	"Days"	"2010"	"FluMist"	""	"1d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"7"	"254"	"URB1"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_254.txt"	"hipciof_gene_complete_24495909_254.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"CPT1A"	"gene expression"	"up"	"none"	"1"	"Days"	"2010"	"FluMist"	""	"1d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"7"	"254"	"CPT1A"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_254.txt"	"hipciof_gene_complete_24495909_254.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"CHTF8"	"gene expression"	"up"	"none"	"1"	"Days"	"2010"	"FluMist"	""	"1d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"7"	"254"	"CHTF8"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_254.txt"	"hipciof_gene_complete_24495909_254.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"MTCH2"	"gene expression"	"down"	"none"	"1"	"Days"	"2010"	"FluMist"	""	"1d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"8"	"255"	"MTCH2"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_255.txt"	"hipciof_gene_complete_24495909_255.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"NSUN5P1"	"gene expression"	"down"	"none"	"1"	"Days"	"2010"	"FluMist"	""	"1d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"8"	"255"	"NSUN5B"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_255.txt"	"hipciof_gene_complete_24495909_255.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"PCGF3"	"gene expression"	"down"	"none"	"1"	"Days"	"2010"	"FluMist"	""	"1d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"8"	"255"	"PCGF3"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_255.txt"	"hipciof_gene_complete_24495909_255.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"MFSD12"	"gene expression"	"down"	"none"	"1"	"Days"	"2010"	"FluMist"	""	"1d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"8"	"255"	"C19ORF28"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_255.txt"	"hipciof_gene_complete_24495909_255.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"ATP9B"	"gene expression"	"down"	"none"	"1"	"Days"	"2010"	"FluMist"	""	"1d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"8"	"255"	"ATP9B"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_255.txt"	"hipciof_gene_complete_24495909_255.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"MSRB3"	"gene expression"	"down"	"none"	"1"	"Days"	"2010"	"FluMist"	""	"1d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"8"	"255"	"MSRB3"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_255.txt"	"hipciof_gene_complete_24495909_255.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"SASS6"	"gene expression"	"down"	"none"	"1"	"Days"	"2010"	"FluMist"	""	"1d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"8"	"255"	"SASS6"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_255.txt"	"hipciof_gene_complete_24495909_255.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"PRDM10"	"gene expression"	"down"	"none"	"1"	"Days"	"2010"	"FluMist"	""	"1d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"8"	"255"	"PRDM10"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_255.txt"	"hipciof_gene_complete_24495909_255.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"RORA"	"gene expression"	"down"	"none"	"1"	"Days"	"2010"	"FluMist"	""	"1d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"8"	"255"	"RORA"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_255.txt"	"hipciof_gene_complete_24495909_255.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"OAS2"	"gene expression"	"up"	"none"	"7"	"Days"	"2010"	"FluMist"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"9"	"256"	"OAS2"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_256.txt"	"hipciof_gene_complete_24495909_256.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"ICA1"	"gene expression"	"up"	"none"	"7"	"Days"	"2010"	"FluMist"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"9"	"256"	"ICA1"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_256.txt"	"hipciof_gene_complete_24495909_256.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"MASTL"	"gene expression"	"up"	"none"	"7"	"Days"	"2010"	"FluMist"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"9"	"256"	"MASTL"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_256.txt"	"hipciof_gene_complete_24495909_256.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"C11orf24"	"gene expression"	"up"	"none"	"7"	"Days"	"2010"	"FluMist"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"9"	"256"	"C11ORF24"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_256.txt"	"hipciof_gene_complete_24495909_256.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"BCAS2"	"gene expression"	"up"	"none"	"7"	"Days"	"2010"	"FluMist"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"9"	"256"	"BCAS2"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_256.txt"	"hipciof_gene_complete_24495909_256.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"FASLG"	"gene expression"	"up"	"none"	"7"	"Days"	"2010"	"FluMist"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"9"	"256"	"FASLG"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_256.txt"	"hipciof_gene_complete_24495909_256.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"PPP1R8"	"gene expression"	"down"	"none"	"7"	"Days"	"2010"	"FluMist"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"10"	"257"	"PPP1R8"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_257.txt"	"hipciof_gene_complete_24495909_257.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"ASB16-AS1"	"gene expression"	"down"	"none"	"7"	"Days"	"2010"	"FluMist"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"10"	"257"	"ASB16-AS1"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_257.txt"	"hipciof_gene_complete_24495909_257.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"FGFBP3"	"gene expression"	"down"	"none"	"7"	"Days"	"2010"	"FluMist"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"10"	"257"	"FGFBP3"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_257.txt"	"hipciof_gene_complete_24495909_257.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"MYBPH"	"gene expression"	"down"	"none"	"7"	"Days"	"2010"	"FluMist"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"10"	"257"	"MYBPH"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_257.txt"	"hipciof_gene_complete_24495909_257.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"RSC1A1"	"gene expression"	"down"	"none"	"7"	"Days"	"2010"	"FluMist"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"10"	"257"	"RSC1A1"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_257.txt"	"hipciof_gene_complete_24495909_257.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"BMF"	"gene expression"	"down"	"none"	"7"	"Days"	"2010"	"FluMist"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"10"	"257"	"BMF"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_257.txt"	"hipciof_gene_complete_24495909_257.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"TBC1D17"	"gene expression"	"down"	"none"	"7"	"Days"	"2010"	"FluMist"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"10"	"257"	"TBC1D17"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_257.txt"	"hipciof_gene_complete_24495909_257.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"RASGRP4"	"gene expression"	"down"	"none"	"7"	"Days"	"2010"	"FluMist"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"10"	"257"	"RASGRP4"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_257.txt"	"hipciof_gene_complete_24495909_257.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"TERF1"	"gene expression"	"up"	"none"	"30"	"Days"	"2010"	"FluMist"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"11"	"258"	"TERF1"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_258.txt"	"hipciof_gene_complete_24495909_258.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"IL3RA"	"gene expression"	"up"	"none"	"30"	"Days"	"2010"	"FluMist"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"11"	"258"	"IL3RA"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_258.txt"	"hipciof_gene_complete_24495909_258.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"PPP1R3F"	"gene expression"	"up"	"none"	"30"	"Days"	"2010"	"FluMist"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"11"	"258"	"PPP1R3F"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_258.txt"	"hipciof_gene_complete_24495909_258.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"PSMG3-AS1"	"gene expression"	"up"	"none"	"30"	"Days"	"2010"	"FluMist"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"11"	"258"	"PSMG3-AS1"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_258.txt"	"hipciof_gene_complete_24495909_258.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"MGAM2"	"gene expression"	"down"	"none"	"30"	"Days"	"2010"	"FluMist"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"12"	"259"	"MGAM2"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_259.txt"	"hipciof_gene_complete_24495909_259.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"HEMGN"	"gene expression"	"down"	"none"	"30"	"Days"	"2010"	"FluMist"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"12"	"259"	"HEMGN"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_259.txt"	"hipciof_gene_complete_24495909_259.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"SERPINA1"	"gene expression"	"down"	"none"	"30"	"Days"	"2010"	"FluMist"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"12"	"259"	"SERPINA1"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_259.txt"	"hipciof_gene_complete_24495909_259.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"NFAT5"	"gene expression"	"down"	"none"	"30"	"Days"	"2010"	"FluMist"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"12"	"259"	"NFTA5"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_259.txt"	"hipciof_gene_complete_24495909_259.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"LSMEM1"	"gene expression"	"down"	"none"	"30"	"Days"	"2010"	"FluMist"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"12"	"259"	"C7ORF53"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_259.txt"	"hipciof_gene_complete_24495909_259.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"WASHC2A"	"gene expression"	"down"	"none"	"30"	"Days"	"2010"	"FluMist"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"12"	"259"	"WASHC2A"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_259.txt"	"hipciof_gene_complete_24495909_259.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"VPS41"	"gene expression"	"down"	"none"	"30"	"Days"	"2010"	"FluMist"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"12"	"259"	"VPS41"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_259.txt"	"hipciof_gene_complete_24495909_259.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"XCR1"	"gene expression"	"down"	"none"	"30"	"Days"	"2010"	"FluMist"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"12"	"259"	"XCR1"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_259.txt"	"hipciof_gene_complete_24495909_259.txt"
