""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"signature_source_url"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"response_comp_cnt"	"exposure_material_1"	"exposure_material_2"	"signature_file"	"signature_file_complete"
""	"hipc_gene_19047440_6"	"2008.12"	"hipc_gene_19047440_6"	"peripheral blood mononuclear cell"	"KBTBD7"	"gene expression"	"down"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"6"	"35"	"KBTBD7"	"107"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_6.txt"	"hipc_gene_sig_complete_19047440_6.txt"
""	"hipc_gene_19047440_6"	"2008.12"	"hipc_gene_19047440_6"	"peripheral blood mononuclear cell"	"PHOSPHO1"	"gene expression"	"down"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"6"	"35"	"PHOSPHO1"	"107"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_6.txt"	"hipc_gene_sig_complete_19047440_6.txt"
""	"hipc_gene_19047440_6"	"2008.12"	"hipc_gene_19047440_6"	"peripheral blood mononuclear cell"	"PABPC1"	"gene expression"	"down"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"6"	"35"	"PABPC1"	"107"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_6.txt"	"hipc_gene_sig_complete_19047440_6.txt"
""	"hipc_gene_19047440_6"	"2008.12"	"hipc_gene_19047440_6"	"peripheral blood mononuclear cell"	"PIP4K2A"	"gene expression"	"down"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"6"	"35"	"PIP4K2A"	"107"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_6.txt"	"hipc_gene_sig_complete_19047440_6.txt"
""	"hipc_gene_19047440_6"	"2008.12"	"hipc_gene_19047440_6"	"peripheral blood mononuclear cell"	"PINK1"	"gene expression"	"down"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"6"	"35"	"PINK1"	"107"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_6.txt"	"hipc_gene_sig_complete_19047440_6.txt"
""	"hipc_gene_19047440_6"	"2008.12"	"hipc_gene_19047440_6"	"peripheral blood mononuclear cell"	"LST1"	"gene expression"	"down"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"6"	"35"	"LST1"	"107"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_6.txt"	"hipc_gene_sig_complete_19047440_6.txt"
""	"hipc_gene_19047440_6"	"2008.12"	"hipc_gene_19047440_6"	"peripheral blood mononuclear cell"	"PABPC4"	"gene expression"	"down"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"6"	"35"	"PABPC4"	"107"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_6.txt"	"hipc_gene_sig_complete_19047440_6.txt"
""	"hipc_gene_19047440_6"	"2008.12"	"hipc_gene_19047440_6"	"peripheral blood mononuclear cell"	"LGALS3"	"gene expression"	"down"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"6"	"35"	"LGALS3"	"107"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_6.txt"	"hipc_gene_sig_complete_19047440_6.txt"
""	"hipc_gene_19047440_6"	"2008.12"	"hipc_gene_19047440_6"	"peripheral blood mononuclear cell"	"ABTB1"	"gene expression"	"down"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"6"	"35"	"ABTB1"	"107"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_6.txt"	"hipc_gene_sig_complete_19047440_6.txt"
""	"hipc_gene_19047440_6"	"2008.12"	"hipc_gene_19047440_6"	"peripheral blood mononuclear cell"	"PCBP2"	"gene expression"	"down"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"6"	"35"	"PCBP2"	"107"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_6.txt"	"hipc_gene_sig_complete_19047440_6.txt"
""	"hipc_gene_19047440_6"	"2008.12"	"hipc_gene_19047440_6"	"peripheral blood mononuclear cell"	"LMBRD1"	"gene expression"	"down"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"6"	"35"	"LMBRD1"	"107"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_6.txt"	"hipc_gene_sig_complete_19047440_6.txt"
""	"hipc_gene_19047440_6"	"2008.12"	"hipc_gene_19047440_6"	"peripheral blood mononuclear cell"	"ERGIC1"	"gene expression"	"down"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"6"	"35"	"ERGIC1"	"107"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_6.txt"	"hipc_gene_sig_complete_19047440_6.txt"
""	"hipc_gene_19047440_6"	"2008.12"	"hipc_gene_19047440_6"	"peripheral blood mononuclear cell"	"NPL"	"gene expression"	"down"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"6"	"35"	"NPL"	"107"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_6.txt"	"hipc_gene_sig_complete_19047440_6.txt"
""	"hipc_gene_19047440_6"	"2008.12"	"hipc_gene_19047440_6"	"peripheral blood mononuclear cell"	"FCER1A"	"gene expression"	"down"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"6"	"35"	"FCER1A"	"107"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_6.txt"	"hipc_gene_sig_complete_19047440_6.txt"
""	"hipc_gene_19047440_6"	"2008.12"	"hipc_gene_19047440_6"	"peripheral blood mononuclear cell"	"TBC1D14"	"gene expression"	"down"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"6"	"35"	"TBC1D14"	"107"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_6.txt"	"hipc_gene_sig_complete_19047440_6.txt"
""	"hipc_gene_19047440_6"	"2008.12"	"hipc_gene_19047440_6"	"peripheral blood mononuclear cell"	"STMN3"	"gene expression"	"down"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"6"	"35"	"STMN3"	"107"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_6.txt"	"hipc_gene_sig_complete_19047440_6.txt"
""	"hipc_gene_19047440_6"	"2008.12"	"hipc_gene_19047440_6"	"peripheral blood mononuclear cell"	"ARAP3"	"gene expression"	"down"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"6"	"35"	"ARAP3"	"107"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_6.txt"	"hipc_gene_sig_complete_19047440_6.txt"
""	"hipc_gene_19047440_6"	"2008.12"	"hipc_gene_19047440_6"	"peripheral blood mononuclear cell"	"ALKBH7"	"gene expression"	"down"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"6"	"35"	"ALKBH7"	"107"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_6.txt"	"hipc_gene_sig_complete_19047440_6.txt"
""	"hipc_gene_19047440_6"	"2008.12"	"hipc_gene_19047440_6"	"peripheral blood mononuclear cell"	"APMAP"	"gene expression"	"down"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"6"	"35"	"APMAP"	"107"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_6.txt"	"hipc_gene_sig_complete_19047440_6.txt"
""	"hipc_gene_19047440_6"	"2008.12"	"hipc_gene_19047440_6"	"peripheral blood mononuclear cell"	"BTF3"	"gene expression"	"down"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"6"	"35"	"BTF3"	"107"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_6.txt"	"hipc_gene_sig_complete_19047440_6.txt"
""	"hipc_gene_19047440_6"	"2008.12"	"hipc_gene_19047440_6"	"peripheral blood mononuclear cell"	"GNG7"	"gene expression"	"down"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"6"	"35"	"GNG7"	"107"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_6.txt"	"hipc_gene_sig_complete_19047440_6.txt"
""	"hipc_gene_19047440_6"	"2008.12"	"hipc_gene_19047440_6"	"peripheral blood mononuclear cell"	"CDK19"	"gene expression"	"down"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"6"	"35"	"CDK19"	"107"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_6.txt"	"hipc_gene_sig_complete_19047440_6.txt"
""	"hipc_gene_19047440_6"	"2008.12"	"hipc_gene_19047440_6"	"peripheral blood mononuclear cell"	"PANX2"	"gene expression"	"down"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"6"	"35"	"PANX2"	"107"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_6.txt"	"hipc_gene_sig_complete_19047440_6.txt"
""	"hipc_gene_19047440_6"	"2008.12"	"hipc_gene_19047440_6"	"peripheral blood mononuclear cell"	"FOXO1"	"gene expression"	"down"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"6"	"35"	"FOXO1"	"107"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_6.txt"	"hipc_gene_sig_complete_19047440_6.txt"
""	"hipc_gene_19047440_6"	"2008.12"	"hipc_gene_19047440_6"	"peripheral blood mononuclear cell"	"FBXO7"	"gene expression"	"down"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"6"	"35"	"FBXO7"	"107"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_6.txt"	"hipc_gene_sig_complete_19047440_6.txt"
""	"hipc_gene_19047440_6"	"2008.12"	"hipc_gene_19047440_6"	"peripheral blood mononuclear cell"	"EEF2"	"gene expression"	"down"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"6"	"35"	"EEF2"	"107"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_6.txt"	"hipc_gene_sig_complete_19047440_6.txt"
""	"hipc_gene_19047440_6"	"2008.12"	"hipc_gene_19047440_6"	"peripheral blood mononuclear cell"	"ABHD5"	"gene expression"	"down"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"6"	"35"	"ABHD5"	"107"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_6.txt"	"hipc_gene_sig_complete_19047440_6.txt"
""	"hipc_gene_19047440_6"	"2008.12"	"hipc_gene_19047440_6"	"peripheral blood mononuclear cell"	"PRDX2"	"gene expression"	"down"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"6"	"35"	"PRDX2"	"107"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_6.txt"	"hipc_gene_sig_complete_19047440_6.txt"
""	"hipc_gene_19047440_6"	"2008.12"	"hipc_gene_19047440_6"	"peripheral blood mononuclear cell"	"DCAF6"	"gene expression"	"down"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"6"	"35"	"DCAF6"	"107"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_6.txt"	"hipc_gene_sig_complete_19047440_6.txt"
""	"hipc_gene_19047440_6"	"2008.12"	"hipc_gene_19047440_6"	"peripheral blood mononuclear cell"	"TOPORS"	"gene expression"	"down"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"6"	"35"	"TOPORS"	"107"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_6.txt"	"hipc_gene_sig_complete_19047440_6.txt"
""	"hipc_gene_19047440_6"	"2008.12"	"hipc_gene_19047440_6"	"peripheral blood mononuclear cell"	"WLS"	"gene expression"	"down"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"6"	"35"	"WLS"	"107"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_6.txt"	"hipc_gene_sig_complete_19047440_6.txt"
""	"hipc_gene_19047440_6"	"2008.12"	"hipc_gene_19047440_6"	"peripheral blood mononuclear cell"	"RPL37A"	"gene expression"	"down"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"6"	"35"	"RPL37A"	"107"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_6.txt"	"hipc_gene_sig_complete_19047440_6.txt"
""	"hipc_gene_19047440_6"	"2008.12"	"hipc_gene_19047440_6"	"peripheral blood mononuclear cell"	"TGM3"	"gene expression"	"down"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"6"	"35"	"TGM3"	"107"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_6.txt"	"hipc_gene_sig_complete_19047440_6.txt"
""	"hipc_gene_19047440_6"	"2008.12"	"hipc_gene_19047440_6"	"peripheral blood mononuclear cell"	"TMCO3"	"gene expression"	"down"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"6"	"35"	"TMCO3"	"107"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_6.txt"	"hipc_gene_sig_complete_19047440_6.txt"
""	"hipc_gene_19047440_6"	"2008.12"	"hipc_gene_19047440_6"	"peripheral blood mononuclear cell"	"TNS1"	"gene expression"	"down"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"6"	"35"	"TNS1"	"107"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_6.txt"	"hipc_gene_sig_complete_19047440_6.txt"
""	"hipc_gene_19047440_6"	"2008.12"	"hipc_gene_19047440_6"	"peripheral blood mononuclear cell"	"CD46"	"gene expression"	"down"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"6"	"35"	"CD46"	"107"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_6.txt"	"hipc_gene_sig_complete_19047440_6.txt"
