""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"response_component_original"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"target_pathogen_4"	"target_pathogen_5"	"target_pathogen_6"	"target_pathogen_7"	"target_pathogen_8"	"target_pathogen_9"	"signature_file"	"complete_signature_file"
""	"hipc_gene_cor_26682988"	"2015.12"	"hipc_gene_cor_39"	"peripheral blood mononuclear cell"	"ARHGAP6"	"gene expression"	"negatively"	"2007-2010 combined season"	"3"	"Days"	"2007, 2008, 2009, 2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 180d/28d HAi response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"4"	"285"	"ARHGAP6"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_26682988_285.txt"	"hipc_gene_cor_complete_26682988_285.txt"
""	"hipc_gene_cor_26682988"	"2015.12"	"hipc_gene_cor_39"	"peripheral blood mononuclear cell"	"ENG"	"gene expression"	"negatively"	"2007-2010 combined season"	"3"	"Days"	"2007, 2008, 2009, 2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 180d/28d HAi response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"4"	"285"	"ENG"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_26682988_285.txt"	"hipc_gene_cor_complete_26682988_285.txt"
""	"hipc_gene_cor_26682988"	"2015.12"	"hipc_gene_cor_39"	"peripheral blood mononuclear cell"	"IL1B"	"gene expression"	"negatively"	"2007-2010 combined season"	"3"	"Days"	"2007, 2008, 2009, 2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 180d/28d HAi response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"4"	"285"	"IL1B"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_26682988_285.txt"	"hipc_gene_cor_complete_26682988_285.txt"
""	"hipc_gene_cor_26682988"	"2015.12"	"hipc_gene_cor_39"	"peripheral blood mononuclear cell"	"SLAMF7"	"gene expression"	"negatively"	"2007-2010 combined season"	"3"	"Days"	"2007, 2008, 2009, 2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 180d/28d HAi response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"4"	"285"	"SLAMF7"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_26682988_285.txt"	"hipc_gene_cor_complete_26682988_285.txt"
""	"hipc_gene_cor_26682988"	"2015.12"	"hipc_gene_cor_39"	"peripheral blood mononuclear cell"	"VCAM1"	"gene expression"	"negatively"	"2007-2010 combined season"	"3"	"Days"	"2007, 2008, 2009, 2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 180d/28d HAi response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"4"	"285"	"VCAM1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_26682988_285.txt"	"hipc_gene_cor_complete_26682988_285.txt"
""	"hipc_gene_cor_26682988"	"2015.12"	"hipc_gene_cor_39"	"peripheral blood mononuclear cell"	"COL3A1"	"gene expression"	"negatively"	"2007-2010 combined season"	"3"	"Days"	"2007, 2008, 2009, 2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 180d/28d HAi response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"4"	"285"	"COL3A1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_26682988_285.txt"	"hipc_gene_cor_complete_26682988_285.txt"
""	"hipc_gene_cor_26682988"	"2015.12"	"hipc_gene_cor_39"	"peripheral blood mononuclear cell"	"POSTN"	"gene expression"	"negatively"	"2007-2010 combined season"	"3"	"Days"	"2007, 2008, 2009, 2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 180d/28d HAi response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"4"	"285"	"POSTN"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_26682988_285.txt"	"hipc_gene_cor_complete_26682988_285.txt"
""	"hipc_gene_cor_26682988"	"2015.12"	"hipc_gene_cor_39"	"peripheral blood mononuclear cell"	"IL32"	"gene expression"	"positively"	"2007-11 combined seasons"	"0"	"Days"	"2007, 2008, 2009, 2010, 2011"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 28d HAI response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"5"	"286"	"IL32"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_26682988_286.txt"	"hipc_gene_cor_complete_26682988_286.txt"
""	"hipc_gene_cor_26682988"	"2015.12"	"hipc_gene_cor_39"	"peripheral blood mononuclear cell"	"GNLY"	"gene expression"	"positively"	"2007-11 combined seasons"	"0"	"Days"	"2007, 2008, 2009, 2010, 2011"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 28d HAI response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"5"	"286"	"GNLY"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_26682988_286.txt"	"hipc_gene_cor_complete_26682988_286.txt"
""	"hipc_gene_cor_26682988"	"2015.12"	"hipc_gene_cor_39"	"peripheral blood mononuclear cell"	"CD6"	"gene expression"	"positively"	"2007-11 combined seasons"	"0"	"Days"	"2007, 2008, 2009, 2010, 2011"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 28d HAI response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"5"	"286"	"CD6"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_26682988_286.txt"	"hipc_gene_cor_complete_26682988_286.txt"
""	"hipc_gene_cor_26682988"	"2015.12"	"hipc_gene_cor_39"	"peripheral blood mononuclear cell"	"CD2"	"gene expression"	"positively"	"2007-11 combined seasons"	"0"	"Days"	"2007, 2008, 2009, 2010, 2011"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 28d HAI response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"5"	"286"	"CD2"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_26682988_286.txt"	"hipc_gene_cor_complete_26682988_286.txt"
""	"hipc_gene_cor_26682988"	"2015.12"	"hipc_gene_cor_39"	"peripheral blood mononuclear cell"	"CD3E"	"gene expression"	"positively"	"2007-11 combined seasons"	"0"	"Days"	"2007, 2008, 2009, 2010, 2011"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 28d HAI response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"5"	"286"	"CD3E"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_26682988_286.txt"	"hipc_gene_cor_complete_26682988_286.txt"
""	"hipc_gene_cor_26682988"	"2015.12"	"hipc_gene_cor_39"	"peripheral blood mononuclear cell"	"NELL2"	"gene expression"	"positively"	"2007-11 combined seasons"	"0"	"Days"	"2007, 2008, 2009, 2010, 2011"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 28d HAI response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"5"	"286"	"NELL2"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_26682988_286.txt"	"hipc_gene_cor_complete_26682988_286.txt"
""	"hipc_gene_cor_26682988"	"2015.12"	"hipc_gene_cor_39"	"peripheral blood mononuclear cell"	"ICOS"	"gene expression"	"positively"	"2007-11 combined seasons"	"0"	"Days"	"2007, 2008, 2009, 2010, 2011"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 28d HAI response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"5"	"286"	"ICOS"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_26682988_286.txt"	"hipc_gene_cor_complete_26682988_286.txt"
""	"hipc_gene_cor_26682988"	"2015.12"	"hipc_gene_cor_39"	"peripheral blood mononuclear cell"	"KLRB1"	"gene expression"	"positively"	"2007-11 combined seasons"	"0"	"Days"	"2007, 2008, 2009, 2010, 2011"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 28d HAI response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"5"	"286"	"KLRB1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_26682988_286.txt"	"hipc_gene_cor_complete_26682988_286.txt"
""	"hipc_gene_cor_26682988"	"2015.12"	"hipc_gene_cor_39"	"peripheral blood mononuclear cell"	"GZMK"	"gene expression"	"positively"	"2007-11 combined seasons"	"0"	"Days"	"2007, 2008, 2009, 2010, 2011"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 28d HAI response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"5"	"286"	"GZMK"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_26682988_286.txt"	"hipc_gene_cor_complete_26682988_286.txt"
""	"hipc_gene_cor_26682988"	"2015.12"	"hipc_gene_cor_39"	"peripheral blood mononuclear cell"	"TARP"	"gene expression"	"positively"	"2007-11 combined seasons"	"0"	"Days"	"2007, 2008, 2009, 2010, 2011"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 28d HAI response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"5"	"286"	"TARP"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_26682988_286.txt"	"hipc_gene_cor_complete_26682988_286.txt"
""	"hipc_gene_cor_26682988"	"2015.12"	"hipc_gene_cor_39"	"peripheral blood mononuclear cell"	"PRF1"	"gene expression"	"positively"	"2007-11 combined seasons"	"0"	"Days"	"2007, 2008, 2009, 2010, 2011"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 28d HAI response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"5"	"286"	"PRF1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_26682988_286.txt"	"hipc_gene_cor_complete_26682988_286.txt"
""	"hipc_gene_cor_26682988"	"2015.12"	"hipc_gene_cor_39"	"peripheral blood mononuclear cell"	"IL7R"	"gene expression"	"positively"	"2007-11 combined seasons"	"0"	"Days"	"2007, 2008, 2009, 2010, 2011"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 28d HAI response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"5"	"286"	"IL7R"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_26682988_286.txt"	"hipc_gene_cor_complete_26682988_286.txt"
""	"hipc_gene_cor_26682988"	"2015.12"	"hipc_gene_cor_39"	"peripheral blood mononuclear cell"	"ETS1"	"gene expression"	"positively"	"2007-11 combined seasons"	"0"	"Days"	"2007, 2008, 2009, 2010, 2011"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 28d HAI response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"5"	"286"	"ETS1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_26682988_286.txt"	"hipc_gene_cor_complete_26682988_286.txt"
""	"hipc_gene_cor_26682988"	"2015.12"	"hipc_gene_cor_39"	"peripheral blood mononuclear cell"	"ITK"	"gene expression"	"positively"	"2007-11 combined seasons"	"0"	"Days"	"2007, 2008, 2009, 2010, 2011"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 28d HAI response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"5"	"286"	"ITK"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_26682988_286.txt"	"hipc_gene_cor_complete_26682988_286.txt"
""	"hipc_gene_cor_26682988"	"2015.12"	"hipc_gene_cor_39"	"peripheral blood mononuclear cell"	"SH2D1A"	"gene expression"	"positively"	"2007-11 combined seasons"	"0"	"Days"	"2007, 2008, 2009, 2010, 2011"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 28d HAI response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"5"	"286"	"SH2D1A"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_26682988_286.txt"	"hipc_gene_cor_complete_26682988_286.txt"
""	"hipc_gene_cor_26682988"	"2015.12"	"hipc_gene_cor_39"	"peripheral blood mononuclear cell"	"GATA3"	"gene expression"	"positively"	"2007-11 combined seasons"	"0"	"Days"	"2007, 2008, 2009, 2010, 2011"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 28d HAI response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"5"	"286"	"GATA3"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_26682988_286.txt"	"hipc_gene_cor_complete_26682988_286.txt"
""	"hipc_gene_cor_26682988"	"2015.12"	"hipc_gene_cor_39"	"peripheral blood mononuclear cell"	"CD28"	"gene expression"	"positively"	"2007-11 combined seasons"	"0"	"Days"	"2007, 2008, 2009, 2010, 2011"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 28d HAI response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"5"	"286"	"CD28"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_26682988_286.txt"	"hipc_gene_cor_complete_26682988_286.txt"
""	"hipc_gene_cor_26682988"	"2015.12"	"hipc_gene_cor_39"	"peripheral blood mononuclear cell"	"SIRPG"	"gene expression"	"positively"	"2007-11 combined seasons"	"0"	"Days"	"2007, 2008, 2009, 2010, 2011"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 28d HAI response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"5"	"286"	"SIRPG"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_26682988_286.txt"	"hipc_gene_cor_complete_26682988_286.txt"
