""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"exposure_material_1"	"exposure_material_2"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"target_pathogen_4"	"target_pathogen_5"	"target_pathogen_6"	"target_pathogen_7"	"signature_file"	"complete_signature_file"
""	"hipc_gene_cor_21743478"	"2011.07"	"hipc_gene_cor_34"	"peripheral blood mononuclear cell"	"DNAJB14"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"DNAJB14"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_21743478_237.txt"	"hipc_gene_cor_complete_21743478_237.txt"
""	"hipc_gene_cor_21743478"	"2011.07"	"hipc_gene_cor_34"	"peripheral blood mononuclear cell"	"ZNF12"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"ZNF12"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_21743478_237.txt"	"hipc_gene_cor_complete_21743478_237.txt"
""	"hipc_gene_cor_21743478"	"2011.07"	"hipc_gene_cor_34"	"peripheral blood mononuclear cell"	"ZNF26"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"ZNF26"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_21743478_237.txt"	"hipc_gene_cor_complete_21743478_237.txt"
""	"hipc_gene_cor_21743478"	"2011.07"	"hipc_gene_cor_34"	"peripheral blood mononuclear cell"	"DCAF16"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"DCAF16"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_21743478_237.txt"	"hipc_gene_cor_complete_21743478_237.txt"
""	"hipc_gene_cor_21743478"	"2011.07"	"hipc_gene_cor_34"	"peripheral blood mononuclear cell"	"EBLN2"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"EBLN2"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_21743478_237.txt"	"hipc_gene_cor_complete_21743478_237.txt"
""	"hipc_gene_cor_21743478"	"2011.07"	"hipc_gene_cor_34"	"peripheral blood mononuclear cell"	"SINHCAF"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"FAM60A"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_21743478_237.txt"	"hipc_gene_cor_complete_21743478_237.txt"
""	"hipc_gene_cor_21743478"	"2011.07"	"hipc_gene_cor_34"	"peripheral blood mononuclear cell"	"RC3H2"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"RC3H2"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_21743478_237.txt"	"hipc_gene_cor_complete_21743478_237.txt"
""	"hipc_gene_cor_21743478"	"2011.07"	"hipc_gene_cor_34"	"peripheral blood mononuclear cell"	"TENT5C"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"FAM46C"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_21743478_237.txt"	"hipc_gene_cor_complete_21743478_237.txt"
""	"hipc_gene_cor_21743478"	"2011.07"	"hipc_gene_cor_34"	"peripheral blood mononuclear cell"	"USP36"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"USP36"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_21743478_237.txt"	"hipc_gene_cor_complete_21743478_237.txt"
""	"hipc_gene_cor_21743478"	"2011.07"	"hipc_gene_cor_34"	"peripheral blood mononuclear cell"	"ADPRM"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"C17orf48"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_21743478_237.txt"	"hipc_gene_cor_complete_21743478_237.txt"
""	"hipc_gene_cor_21743478"	"2011.07"	"hipc_gene_cor_34"	"peripheral blood mononuclear cell"	"METTL16"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"METTL16"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_21743478_237.txt"	"hipc_gene_cor_complete_21743478_237.txt"
""	"hipc_gene_cor_21743478"	"2011.07"	"hipc_gene_cor_34"	"peripheral blood mononuclear cell"	"DDX47"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"DDX47"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_21743478_237.txt"	"hipc_gene_cor_complete_21743478_237.txt"
""	"hipc_gene_cor_21743478"	"2011.07"	"hipc_gene_cor_34"	"peripheral blood mononuclear cell"	"FAM162A"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"FAM162A"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_21743478_237.txt"	"hipc_gene_cor_complete_21743478_237.txt"
""	"hipc_gene_cor_21743478"	"2011.07"	"hipc_gene_cor_34"	"peripheral blood mononuclear cell"	"KPNA3"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"KPNA3"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_21743478_237.txt"	"hipc_gene_cor_complete_21743478_237.txt"
""	"hipc_gene_cor_21743478"	"2011.07"	"hipc_gene_cor_34"	"peripheral blood mononuclear cell"	"USP47"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"USP47"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_21743478_237.txt"	"hipc_gene_cor_complete_21743478_237.txt"
""	"hipc_gene_cor_21743478"	"2011.07"	"hipc_gene_cor_34"	"peripheral blood mononuclear cell"	"LSG1"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"LSG1"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_21743478_237.txt"	"hipc_gene_cor_complete_21743478_237.txt"
""	"hipc_gene_cor_21743478"	"2011.07"	"hipc_gene_cor_34"	"peripheral blood mononuclear cell"	"TAF9B"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"TAF9B"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_21743478_237.txt"	"hipc_gene_cor_complete_21743478_237.txt"
""	"hipc_gene_cor_21743478"	"2011.07"	"hipc_gene_cor_34"	"peripheral blood mononuclear cell"	"PIK3IP1"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"PIK3IP1"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_21743478_237.txt"	"hipc_gene_cor_complete_21743478_237.txt"
""	"hipc_gene_cor_21743478"	"2011.07"	"hipc_gene_cor_34"	"peripheral blood mononuclear cell"	"NOL11"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"NOL11"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_21743478_237.txt"	"hipc_gene_cor_complete_21743478_237.txt"
""	"hipc_gene_cor_21743478"	"2011.07"	"hipc_gene_cor_34"	"peripheral blood mononuclear cell"	"THOC2"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"THOC2"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_21743478_237.txt"	"hipc_gene_cor_complete_21743478_237.txt"
""	"hipc_gene_cor_21743478"	"2011.07"	"hipc_gene_cor_34"	"peripheral blood mononuclear cell"	"URI1"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"C19orf2"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_21743478_237.txt"	"hipc_gene_cor_complete_21743478_237.txt"
""	"hipc_gene_cor_21743478"	"2011.07"	"hipc_gene_cor_34"	"peripheral blood mononuclear cell"	"RSL24D1"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"RSL24D1"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_21743478_237.txt"	"hipc_gene_cor_complete_21743478_237.txt"
""	"hipc_gene_cor_21743478"	"2011.07"	"hipc_gene_cor_34"	"peripheral blood mononuclear cell"	"POLR3E"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"POLR3E"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_21743478_237.txt"	"hipc_gene_cor_complete_21743478_237.txt"
""	"hipc_gene_cor_21743478"	"2011.07"	"hipc_gene_cor_34"	"peripheral blood mononuclear cell"	"STMN3"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"STMN3"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_21743478_237.txt"	"hipc_gene_cor_complete_21743478_237.txt"
""	"hipc_gene_cor_21743478"	"2011.07"	"hipc_gene_cor_34"	"peripheral blood mononuclear cell"	"CAVIN2"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"SDPR"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_21743478_237.txt"	"hipc_gene_cor_complete_21743478_237.txt"
""	"hipc_gene_cor_21743478"	"2011.07"	"hipc_gene_cor_34"	"peripheral blood mononuclear cell"	"SCML1"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"SCML1"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_21743478_237.txt"	"hipc_gene_cor_complete_21743478_237.txt"
""	"hipc_gene_cor_21743478"	"2011.07"	"hipc_gene_cor_34"	"peripheral blood mononuclear cell"	"RSBN1"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"RSBN1"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_21743478_237.txt"	"hipc_gene_cor_complete_21743478_237.txt"
""	"hipc_gene_cor_21743478"	"2011.07"	"hipc_gene_cor_34"	"peripheral blood mononuclear cell"	"DHX36"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"DHX36"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_21743478_237.txt"	"hipc_gene_cor_complete_21743478_237.txt"
