""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"exposure_material_1"	"exposure_material_2"	"signature_file"	"complete_signature_file"
""	"hipc_gene_cor_27322481"	"2016.05"	"hipc_gene_cor_26"	"peripheral blood mononuclear cell"	"KIR3DL1"	"gene expression"	"negatively"	"none"	"14"	"Days"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"170"	"KIR3DL1"	"VO_0004757"	"VO_0000103"	"hipc_gene_cor_27322481_170.txt"	"hipc_gene_cor_complete_27322481_170.txt"
""	"hipc_gene_cor_27322481"	"2016.05"	"hipc_gene_cor_26"	"peripheral blood mononuclear cell"	"FRMPD3"	"gene expression"	"negatively"	"none"	"14"	"Days"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"170"	"FRMPD3"	"VO_0004757"	"VO_0000103"	"hipc_gene_cor_27322481_170.txt"	"hipc_gene_cor_complete_27322481_170.txt"
""	"hipc_gene_cor_27322481"	"2016.05"	"hipc_gene_cor_26"	"peripheral blood mononuclear cell"	"SIGLEC17P"	"gene expression"	"negatively"	"none"	"14"	"Days"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"170"	"SIGLEC17P"	"VO_0004757"	"VO_0000103"	"hipc_gene_cor_27322481_170.txt"	"hipc_gene_cor_complete_27322481_170.txt"
""	"hipc_gene_cor_27322481"	"2016.05"	"hipc_gene_cor_26"	"peripheral blood mononuclear cell"	"NMUR1"	"gene expression"	"negatively"	"none"	"14"	"Days"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"170"	"NMUR1"	"VO_0004757"	"VO_0000103"	"hipc_gene_cor_27322481_170.txt"	"hipc_gene_cor_complete_27322481_170.txt"
""	"hipc_gene_cor_27322481"	"2016.05"	"hipc_gene_cor_26"	"peripheral blood mononuclear cell"	"GZMB"	"gene expression"	"negatively"	"none"	"14"	"Days"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"170"	"GZMB"	"VO_0004757"	"VO_0000103"	"hipc_gene_cor_27322481_170.txt"	"hipc_gene_cor_complete_27322481_170.txt"
""	"hipc_gene_cor_27322481"	"2016.05"	"hipc_gene_cor_26"	"peripheral blood mononuclear cell"	"NKG7"	"gene expression"	"negatively"	"none"	"14"	"Days"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"170"	"NKG7"	"VO_0004757"	"VO_0000103"	"hipc_gene_cor_27322481_170.txt"	"hipc_gene_cor_complete_27322481_170.txt"
""	"hipc_gene_cor_27322481"	"2016.05"	"hipc_gene_cor_26"	"peripheral blood mononuclear cell"	"ADCY9"	"gene expression"	"negatively"	"none"	"14"	"Days"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"170"	"ADCY9"	"VO_0004757"	"VO_0000103"	"hipc_gene_cor_27322481_170.txt"	"hipc_gene_cor_complete_27322481_170.txt"
""	"hipc_gene_cor_27322481"	"2016.05"	"hipc_gene_cor_26"	"peripheral blood mononuclear cell"	"ELOVL6"	"gene expression"	"negatively"	"none"	"14"	"Days"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"170"	"ELOVL6"	"VO_0004757"	"VO_0000103"	"hipc_gene_cor_27322481_170.txt"	"hipc_gene_cor_complete_27322481_170.txt"
""	"hipc_gene_cor_27322481"	"2016.05"	"hipc_gene_cor_26"	"peripheral blood mononuclear cell"	"ADGRE1"	"gene expression"	"positively"	"none"	"14"	"Days"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with VZV reactivation"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"8"	"171"	"ADGRE1"	"VO_0004757"	"VO_0000103"	"hipc_gene_cor_27322481_171.txt"	"hipc_gene_cor_complete_27322481_171.txt"
""	"hipc_gene_cor_27322481"	"2016.05"	"hipc_gene_cor_26"	"peripheral blood mononuclear cell"	"ADGRE1"	"gene expression"	"positively"	"none"	"28"	"Days"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with VZV reactivation"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"9"	"172"	"ADGRE1"	"VO_0004757"	"VO_0000103"	"hipc_gene_cor_27322481_172.txt"	"hipc_gene_cor_complete_27322481_172.txt"
""	"hipc_gene_cor_27322481"	"2016.05"	"hipc_gene_cor_26"	"peripheral blood mononuclear cell"	"ADGRE1"	"gene expression"	"positively"	"none"	"56"	"Days"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with VZV reactivation"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"10"	"173"	"ADGRE1"	"VO_0004757"	"VO_0000103"	"hipc_gene_cor_27322481_173.txt"	"hipc_gene_cor_complete_27322481_173.txt"
""	"hipc_gene_cor_27322481"	"2016.05"	"hipc_gene_cor_26"	"peripheral blood mononuclear cell"	"ADGRE1"	"gene expression"	"positively"	"none"	"84"	"Days"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with VZV reactivation"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"11"	"174"	"ADGRE1"	"VO_0004757"	"VO_0000103"	"hipc_gene_cor_27322481_174.txt"	"hipc_gene_cor_complete_27322481_174.txt"
""	"hipc_gene_cor_27322481"	"2016.05"	"hipc_gene_cor_26"	"peripheral blood mononuclear cell"	"ADGRE1"	"gene expression"	"positively"	"none"	"112"	"Days"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with VZV reactivation"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"12"	"175"	"ADGRE1"	"VO_0004757"	"VO_0000103"	"hipc_gene_cor_27322481_175.txt"	"hipc_gene_cor_complete_27322481_175.txt"
""	"hipc_gene_cor_27322481"	"2016.05"	"hipc_gene_cor_26"	"peripheral blood mononuclear cell"	"ADGRE1"	"gene expression"	"positively"	"none"	"140"	"Days"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with VZV reactivation"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"13"	"176"	"ADGRE1"	"VO_0004757"	"VO_0000103"	"hipc_gene_cor_27322481_176.txt"	"hipc_gene_cor_complete_27322481_176.txt"
""	"hipc_gene_cor_27322481"	"2016.05"	"hipc_gene_cor_26"	"peripheral blood mononuclear cell"	"ADGRE1"	"gene expression"	"positively"	"none"	"182"	"Days"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with VZV reactivation"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"14"	"177"	"ADGRE1"	"VO_0004757"	"VO_0000103"	"hipc_gene_cor_27322481_177.txt"	"hipc_gene_cor_complete_27322481_177.txt"
