""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"response_component_original"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"target_pathogen_4"	"signature_file"	"complete_signature_file"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"ARPC2"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"2"	"242"	"ARPC2"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_242.txt"	"hipc_gene_cor_complete_23878721_242.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"ADIPOR1"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"2"	"242"	"ADIPOR1"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_242.txt"	"hipc_gene_cor_complete_23878721_242.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"CAMK2A"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"2"	"242"	"CAMK2A"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_242.txt"	"hipc_gene_cor_complete_23878721_242.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"FBXO9"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"2"	"242"	"FBXO9"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_242.txt"	"hipc_gene_cor_complete_23878721_242.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"PARP12"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"PARP12"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"PSMB9"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"PSMB9"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"IRF7"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"IRF7"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"IFI35"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"IFI35"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"GBP1"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"GBP1"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"XAF1"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"XAF1"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"IFIT3"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"IFIT3"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"LAP3"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"LAP3"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"TNFSF13B"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"TNFSF13B"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"IFI44"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"IFI44"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"DDX60"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"DDX60"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"P2RY14"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"P2RY14"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"PARP14"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"PARP14"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"IFI44L"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"IFI44L"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"OASL"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"OASL"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"LAMP3"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"LAMP3"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"SCO2"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"SCO2"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"TRAFD1"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"TRAFD1"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"STAT2"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"STAT2"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"SAMD4A"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"SAMD4A"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"STAT1"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"STAT1"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"ATF3"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"ATF3"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"GBP4"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"GBP4"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"IFIT1"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"IFIT1"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"TRIM22"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"TRIM22"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"STX11"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"STX11"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"ZBP1"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"ZBP1"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"MX1"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"MX1"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"TDRD7"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"TDRD7"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"OAS3"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"OAS3"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"DDX58"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"DDX58"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
