""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"response_agent_original"	"exposure_material_1"	"exposure_material_2"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"target_pathogen_4"	"signature_file"	"complete_signature_file"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"UAP1"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"UAP1"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"IRF4"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"IRF4"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"IGKC"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"IGKC"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"DIPK1A"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"DIPK1A"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"KLHL14"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"KLHL14"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"ARHGAP42"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"ARHGAP42"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"RAB30"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"RAB30"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"ITM2C"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"ITM2C"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"TYMS"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"TYMS"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"HSPA13"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"HSPA13"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"TOP2A"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"TOP2A"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"PCLAF"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"PCLAF"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"FBH1"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"FBXO18"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"CDK1"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"CDK1"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"PLK1"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"PLK1"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"TP53INP1"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"TP53INP1"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"BUB1"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"BUB1"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"CAV1"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"CAV1"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"SUB1"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"SUB1"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"DENND5B"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"DENND5B"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"SEL1L3"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"SEL1L3"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"TRAM2"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"TRAM2"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"BHLHE41"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"BHLHE41"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"IGKV4-1"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"IGKV4-1"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"SPATS2"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"SPATS2"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"RRM2"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"RRM2"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"PARM1"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"PARM1"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"PIM2"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"PIM2"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"CHAC2"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"CHAC2"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"LMAN1"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"LMAN1"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
