""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comment"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"target_pathogen_4"	"target_pathogen_5"	"target_pathogen_6"	"target_pathogen_7"	"target_pathogen_8"	"target_pathogen_9"	"signature_file"	"complete_signature_file"
""	"20160506-hipciof_gene_corr_26682988"	"2016.05.06"	"hipciof_gene_corr_39"	"peripheral blood mononuclear cell"	"ITGA2B"	"gene expression"	"positively"	"2007-2010 combined season"	"3"	"Days"	"2007, 2008, 2009, 2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 180d/28d HAi response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"3"	"283"	"ITGA2B"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_corr_26682988_283.txt"	"hipciof_gene_corr_complete_26682988_283.txt"
""	"20160506-hipciof_gene_corr_26682988"	"2016.05.06"	"hipciof_gene_corr_39"	"peripheral blood mononuclear cell"	"ESAM"	"gene expression"	"positively"	"2007-2010 combined season"	"3"	"Days"	"2007, 2008, 2009, 2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 180d/28d HAi response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"3"	"283"	"ESAM"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_corr_26682988_283.txt"	"hipciof_gene_corr_complete_26682988_283.txt"
""	"20160506-hipciof_gene_corr_26682988"	"2016.05.06"	"hipciof_gene_corr_39"	"peripheral blood mononuclear cell"	"GP1BA"	"gene expression"	"positively"	"2007-2010 combined season"	"3"	"Days"	"2007, 2008, 2009, 2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 180d/28d HAi response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"3"	"283"	"GP1BA"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_corr_26682988_283.txt"	"hipciof_gene_corr_complete_26682988_283.txt"
""	"20160506-hipciof_gene_corr_26682988"	"2016.05.06"	"hipciof_gene_corr_39"	"peripheral blood mononuclear cell"	"ITGB3"	"gene expression"	"positively"	"2007-2010 combined season"	"3"	"Days"	"2007, 2008, 2009, 2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 180d/28d HAi response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"3"	"283"	"ITGB3"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_corr_26682988_283.txt"	"hipciof_gene_corr_complete_26682988_283.txt"
""	"20160506-hipciof_gene_corr_26682988"	"2016.05.06"	"hipciof_gene_corr_39"	"peripheral blood mononuclear cell"	"ALOX12"	"gene expression"	"positively"	"2007-2010 combined season"	"3"	"Days"	"2007, 2008, 2009, 2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 180d/28d HAi response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"3"	"283"	"ALOX12"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_corr_26682988_283.txt"	"hipciof_gene_corr_complete_26682988_283.txt"
""	"20160506-hipciof_gene_corr_26682988"	"2016.05.06"	"hipciof_gene_corr_39"	"peripheral blood mononuclear cell"	"PARVB"	"gene expression"	"positively"	"2007-2010 combined season"	"3"	"Days"	"2007, 2008, 2009, 2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 180d/28d HAi response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"3"	"283"	"PARVB"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_corr_26682988_283.txt"	"hipciof_gene_corr_complete_26682988_283.txt"
""	"20160506-hipciof_gene_corr_26682988"	"2016.05.06"	"hipciof_gene_corr_39"	"peripheral blood mononuclear cell"	"ITGB5"	"gene expression"	"positively"	"2007-2010 combined season"	"3"	"Days"	"2007, 2008, 2009, 2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 180d/28d HAi response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"3"	"283"	"ITGB5"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_corr_26682988_283.txt"	"hipciof_gene_corr_complete_26682988_283.txt"
""	"20160506-hipciof_gene_corr_26682988"	"2016.05.06"	"hipciof_gene_corr_39"	"peripheral blood mononuclear cell"	"JAM3"	"gene expression"	"positively"	"2007-2010 combined season"	"3"	"Days"	"2007, 2008, 2009, 2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 180d/28d HAi response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"3"	"283"	"JAM3"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_corr_26682988_283.txt"	"hipciof_gene_corr_complete_26682988_283.txt"
""	"20160506-hipciof_gene_corr_26682988"	"2016.05.06"	"hipciof_gene_corr_39"	"peripheral blood mononuclear cell"	"MMRN1"	"gene expression"	"positively"	"2007-2010 combined season"	"3"	"Days"	"2007, 2008, 2009, 2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 180d/28d HAi response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"3"	"283"	"MMRN1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_corr_26682988_283.txt"	"hipciof_gene_corr_complete_26682988_283.txt"
""	"20160506-hipciof_gene_corr_26682988"	"2016.05.06"	"hipciof_gene_corr_39"	"peripheral blood mononuclear cell"	"TPM1"	"gene expression"	"positively"	"2007-2010 combined season"	"3"	"Days"	"2007, 2008, 2009, 2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 180d/28d HAi response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"3"	"283"	"TPM1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_corr_26682988_283.txt"	"hipciof_gene_corr_complete_26682988_283.txt"
""	"20160506-hipciof_gene_corr_26682988"	"2016.05.06"	"hipciof_gene_corr_39"	"peripheral blood mononuclear cell"	"THBS1"	"gene expression"	"positively"	"2007-2010 combined season"	"3"	"Days"	"2007, 2008, 2009, 2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 180d/28d HAi response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"3"	"283"	"THBS1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_corr_26682988_283.txt"	"hipciof_gene_corr_complete_26682988_283.txt"
""	"20160506-hipciof_gene_corr_26682988"	"2016.05.06"	"hipciof_gene_corr_39"	"peripheral blood mononuclear cell"	"COL1A1"	"gene expression"	"positively"	"2007-2010 combined season"	"3"	"Days"	"2007, 2008, 2009, 2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 180d/28d HAi response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"3"	"283"	"COL1A1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_corr_26682988_283.txt"	"hipciof_gene_corr_complete_26682988_283.txt"
""	"20160506-hipciof_gene_corr_26682988"	"2016.05.06"	"hipciof_gene_corr_39"	"peripheral blood mononuclear cell"	"NID2"	"gene expression"	"positively"	"2007-2010 combined season"	"3"	"Days"	"2007, 2008, 2009, 2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 180d/28d HAi response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"3"	"283"	"NID2"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_corr_26682988_283.txt"	"hipciof_gene_corr_complete_26682988_283.txt"
""	"20160506-hipciof_gene_corr_26682988"	"2016.05.06"	"hipciof_gene_corr_39"	"peripheral blood mononuclear cell"	"COL5A1"	"gene expression"	"positively"	"2007-2010 combined season"	"3"	"Days"	"2007, 2008, 2009, 2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 180d/28d HAi response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"3"	"283"	"COL5A1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_corr_26682988_283.txt"	"hipciof_gene_corr_complete_26682988_283.txt"
""	"20160506-hipciof_gene_corr_26682988"	"2016.05.06"	"hipciof_gene_corr_39"	"peripheral blood mononuclear cell"	"LAMB1"	"gene expression"	"positively"	"2007-2010 combined season"	"3"	"Days"	"2007, 2008, 2009, 2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 180d/28d HAi response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"3"	"283"	"LAMB1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_corr_26682988_283.txt"	"hipciof_gene_corr_complete_26682988_283.txt"
""	"20160506-hipciof_gene_corr_26682988"	"2016.05.06"	"hipciof_gene_corr_39"	"peripheral blood mononuclear cell"	"SNAI2"	"gene expression"	"positively"	"2007-2010 combined season"	"3"	"Days"	"2007, 2008, 2009, 2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 180d/28d HAi response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"3"	"283"	"SNAI2"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_corr_26682988_283.txt"	"hipciof_gene_corr_complete_26682988_283.txt"
""	"20160506-hipciof_gene_corr_26682988"	"2016.05.06"	"hipciof_gene_corr_39"	"peripheral blood mononuclear cell"	"CXCL12"	"gene expression"	"positively"	"2007-2010 combined season"	"3"	"Days"	"2007, 2008, 2009, 2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 180d/28d HAi response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"3"	"283"	"CXCL12"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_corr_26682988_283.txt"	"hipciof_gene_corr_complete_26682988_283.txt"
""	"20160506-hipciof_gene_corr_26682988"	"2016.05.06"	"hipciof_gene_corr_39"	"peripheral blood mononuclear cell"	"CCDC80"	"gene expression"	"positively"	"2007-2010 combined season"	"3"	"Days"	"2007, 2008, 2009, 2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 180d/28d HAi response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"3"	"283"	"CCDC80"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_corr_26682988_283.txt"	"hipciof_gene_corr_complete_26682988_283.txt"
""	"20160506-hipciof_gene_corr_26682988"	"2016.05.06"	"hipciof_gene_corr_39"	"peripheral blood mononuclear cell"	"CDH11"	"gene expression"	"positively"	"2007-2010 combined season"	"3"	"Days"	"2007, 2008, 2009, 2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 180d/28d HAi response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"3"	"283"	"CDH11"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_corr_26682988_283.txt"	"hipciof_gene_corr_complete_26682988_283.txt"
""	"20160506-hipciof_gene_corr_26682988"	"2016.05.06"	"hipciof_gene_corr_39"	"peripheral blood mononuclear cell"	"COL6A1"	"gene expression"	"positively"	"2007-2010 combined season"	"3"	"Days"	"2007, 2008, 2009, 2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 180d/28d HAi response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"3"	"283"	"COL6A1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_corr_26682988_283.txt"	"hipciof_gene_corr_complete_26682988_283.txt"
""	"20160506-hipciof_gene_corr_26682988"	"2016.05.06"	"hipciof_gene_corr_39"	"peripheral blood mononuclear cell"	"LAMA4"	"gene expression"	"positively"	"2007-2010 combined season"	"3"	"Days"	"2007, 2008, 2009, 2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 180d/28d HAi response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"3"	"283"	"LAMA4"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_corr_26682988_283.txt"	"hipciof_gene_corr_complete_26682988_283.txt"
""	"20160506-hipciof_gene_corr_26682988"	"2016.05.06"	"hipciof_gene_corr_39"	"peripheral blood mononuclear cell"	"FN1"	"gene expression"	"positively"	"2007-2010 combined season"	"3"	"Days"	"2007, 2008, 2009, 2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 180d/28d HAi response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"3"	"283"	"FN1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_corr_26682988_283.txt"	"hipciof_gene_corr_complete_26682988_283.txt"
""	"20160506-hipciof_gene_corr_26682988"	"2016.05.06"	"hipciof_gene_corr_39"	"peripheral blood mononuclear cell"	"ARHGAP6"	"gene expression"	"negatively"	"2007-2010 combined season"	"3"	"Days"	"2007, 2008, 2009, 2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 180d/28d HAi response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"4"	"284"	"ARHGAP6"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_corr_26682988_284.txt"	"hipciof_gene_corr_complete_26682988_284.txt"
""	"20160506-hipciof_gene_corr_26682988"	"2016.05.06"	"hipciof_gene_corr_39"	"peripheral blood mononuclear cell"	"ENG"	"gene expression"	"negatively"	"2007-2010 combined season"	"3"	"Days"	"2007, 2008, 2009, 2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 180d/28d HAi response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"4"	"284"	"ENG"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_corr_26682988_284.txt"	"hipciof_gene_corr_complete_26682988_284.txt"
""	"20160506-hipciof_gene_corr_26682988"	"2016.05.06"	"hipciof_gene_corr_39"	"peripheral blood mononuclear cell"	"IL1B"	"gene expression"	"negatively"	"2007-2010 combined season"	"3"	"Days"	"2007, 2008, 2009, 2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 180d/28d HAi response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"4"	"284"	"IL1B"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_corr_26682988_284.txt"	"hipciof_gene_corr_complete_26682988_284.txt"
