""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"	"exposure_material_1"	"exposure_material_2"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"signature_file"	"complete_signature_file"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"SPRED2"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"SPRED2"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"MAML3"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"MAML3"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"SCARB1"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"SCARB1"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"GPR157"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"GPR157"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"RHEX"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"C1orf186"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"ZNF689"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"ZNF689"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"LGR4"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"LGR4"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"BACH1"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"BACH1"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"ZNF791"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"ZNF791"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"RDH14"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"RDH14"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"ARID3A"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"ARID3A"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"ROGDI"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"ROGDI"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"SLC9A7"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"SLC9A7"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"BCL6"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"BCL6"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"ZNF281"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"ZNF281"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"AOAH"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"AOAH"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"KSR1"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"KSR1"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"CBX6"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"CBX6"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"GAB2"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"GAB2"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"IL18"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"IL18"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"SOGA1"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"KIAA0889"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"AZU1"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"AZU1"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"FAM168A"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"FAM168A"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"TYROBP"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"TYROBP"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"JUN"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"JUN"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"MID1IP1"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"MID1IP1"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"GAS7"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"GAS7"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"OAF"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"OAF"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"SFT2D2"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"SFT2D2"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"GNA11"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"GNA11"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"ZNF385A"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"ZNF385A"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"NCF1"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"NCF1"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"PRKACG"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"PRKACG"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"SPI1"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"SPI1"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"GRAMD1B"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"GRAMD1B"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"ALDH2"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"ALDH2"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"C9orf139"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"C9orf139"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"RASSF4"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"RASSF4"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
