""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"response_component_original"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"signature_file"	"complete_signature_file"
""	"hipc_gene_dir_30843873"	"2019.05"	"hipc_gene_dir_42"	"blood"	"RTP4"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	"C1 includes 2/17, 16/18, and 10/17 t.c.-, i.d.-, and i.m.-vaccinated individuals, respectively. C2 includes the other 15/17, 2/18, and 7/17 t.c-, i.d.-, and i.m.-vaccinated individuals"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"360"	"RTP4"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_dir_30843873_360.txt"	"hipc_gene_dir_complete_30843873_360.txt"
""	"hipc_gene_dir_30843873"	"2019.05"	"hipc_gene_dir_42"	"blood"	"SAMD9L"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	"C1 includes 2/17, 16/18, and 10/17 t.c.-, i.d.-, and i.m.-vaccinated individuals, respectively. C2 includes the other 15/17, 2/18, and 7/17 t.c-, i.d.-, and i.m.-vaccinated individuals"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"360"	"SAMD9L"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_dir_30843873_360.txt"	"hipc_gene_dir_complete_30843873_360.txt"
""	"hipc_gene_dir_30843873"	"2019.05"	"hipc_gene_dir_42"	"blood"	"SERPING1"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	"C1 includes 2/17, 16/18, and 10/17 t.c.-, i.d.-, and i.m.-vaccinated individuals, respectively. C2 includes the other 15/17, 2/18, and 7/17 t.c-, i.d.-, and i.m.-vaccinated individuals"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"360"	"SERPING1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_dir_30843873_360.txt"	"hipc_gene_dir_complete_30843873_360.txt"
""	"hipc_gene_dir_30843873"	"2019.05"	"hipc_gene_dir_42"	"blood"	"STAT2"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	"C1 includes 2/17, 16/18, and 10/17 t.c.-, i.d.-, and i.m.-vaccinated individuals, respectively. C2 includes the other 15/17, 2/18, and 7/17 t.c-, i.d.-, and i.m.-vaccinated individuals"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"360"	"STAT2"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_dir_30843873_360.txt"	"hipc_gene_dir_complete_30843873_360.txt"
""	"hipc_gene_dir_30843873"	"2019.05"	"hipc_gene_dir_42"	"blood"	"TAP2"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	"C1 includes 2/17, 16/18, and 10/17 t.c.-, i.d.-, and i.m.-vaccinated individuals, respectively. C2 includes the other 15/17, 2/18, and 7/17 t.c-, i.d.-, and i.m.-vaccinated individuals"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"360"	"TAP2"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_dir_30843873_360.txt"	"hipc_gene_dir_complete_30843873_360.txt"
""	"hipc_gene_dir_30843873"	"2019.05"	"hipc_gene_dir_42"	"blood"	"WARS"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	"C1 includes 2/17, 16/18, and 10/17 t.c.-, i.d.-, and i.m.-vaccinated individuals, respectively. C2 includes the other 15/17, 2/18, and 7/17 t.c-, i.d.-, and i.m.-vaccinated individuals"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"360"	"WARS"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_dir_30843873_360.txt"	"hipc_gene_dir_complete_30843873_360.txt"
""	"hipc_gene_dir_30843873"	"2019.05"	"hipc_gene_dir_42"	"blood"	"ZBP1"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	"C1 includes 2/17, 16/18, and 10/17 t.c.-, i.d.-, and i.m.-vaccinated individuals, respectively. C2 includes the other 15/17, 2/18, and 7/17 t.c-, i.d.-, and i.m.-vaccinated individuals"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"360"	"ZBP1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_dir_30843873_360.txt"	"hipc_gene_dir_complete_30843873_360.txt"
""	"hipc_gene_dir_30843873"	"2019.05"	"hipc_gene_dir_42"	"blood"	"APOBEC3G"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	"C1 includes 2/17, 16/18, and 10/17 t.c.-, i.d.-, and i.m.-vaccinated individuals, respectively. C2 includes the other 15/17, 2/18, and 7/17 t.c-, i.d.-, and i.m.-vaccinated individuals"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"360"	"APOBEC3G"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_dir_30843873_360.txt"	"hipc_gene_dir_complete_30843873_360.txt"
""	"hipc_gene_dir_30843873"	"2019.05"	"hipc_gene_dir_42"	"blood"	"C1QB"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	"C1 includes 2/17, 16/18, and 10/17 t.c.-, i.d.-, and i.m.-vaccinated individuals, respectively. C2 includes the other 15/17, 2/18, and 7/17 t.c-, i.d.-, and i.m.-vaccinated individuals"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"360"	"C1QB"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_dir_30843873_360.txt"	"hipc_gene_dir_complete_30843873_360.txt"
""	"hipc_gene_dir_30843873"	"2019.05"	"hipc_gene_dir_42"	"blood"	"PSME1"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	"C1 includes 2/17, 16/18, and 10/17 t.c.-, i.d.-, and i.m.-vaccinated individuals, respectively. C2 includes the other 15/17, 2/18, and 7/17 t.c-, i.d.-, and i.m.-vaccinated individuals"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"360"	"PSME1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_dir_30843873_360.txt"	"hipc_gene_dir_complete_30843873_360.txt"
