""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"response_component_original"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"signature_file"	"complete_signature_file"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"TLR3"	"gene expression"	"up"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-3d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"4"	"390"	"TLR3"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_390.txt"	"hipc_gene_dir_complete_27534615_390.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"TLR7"	"gene expression"	"up"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-3d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"4"	"390"	"TLR7"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_390.txt"	"hipc_gene_dir_complete_27534615_390.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"TLR9"	"gene expression"	"up"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-3d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"4"	"390"	"TLR9"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_390.txt"	"hipc_gene_dir_complete_27534615_390.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"LIG3"	"gene expression"	"up"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-3d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"4"	"390"	"LIG3"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_390.txt"	"hipc_gene_dir_complete_27534615_390.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"SMUG1"	"gene expression"	"up"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-3d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"4"	"390"	"SMUG1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_390.txt"	"hipc_gene_dir_complete_27534615_390.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"ACSL1"	"gene expression"	"up"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-3d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"4"	"390"	"ACSL1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_390.txt"	"hipc_gene_dir_complete_27534615_390.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"ACSL5"	"gene expression"	"up"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-3d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"4"	"390"	"ACSL5"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_390.txt"	"hipc_gene_dir_complete_27534615_390.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"FASN"	"gene expression"	"up"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-3d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"4"	"390"	"FASN"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_390.txt"	"hipc_gene_dir_complete_27534615_390.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"HSD17B12"	"gene expression"	"up"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-3d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"4"	"390"	"HSD17B12"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_390.txt"	"hipc_gene_dir_complete_27534615_390.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"SLC25A1"	"gene expression"	"up"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-3d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"4"	"390"	"SLC25A1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_390.txt"	"hipc_gene_dir_complete_27534615_390.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"ACO2"	"gene expression"	"up"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-3d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"4"	"390"	"ACO2"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_390.txt"	"hipc_gene_dir_complete_27534615_390.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"FH"	"gene expression"	"up"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-3d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"4"	"390"	"FH"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_390.txt"	"hipc_gene_dir_complete_27534615_390.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"IDH2"	"gene expression"	"up"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-3d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"4"	"390"	"IDH2"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_390.txt"	"hipc_gene_dir_complete_27534615_390.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"OGDH"	"gene expression"	"up"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-3d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"4"	"390"	"OGDH"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_390.txt"	"hipc_gene_dir_complete_27534615_390.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"SDHA"	"gene expression"	"up"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-3d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"4"	"390"	"SDHA"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_390.txt"	"hipc_gene_dir_complete_27534615_390.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"SUCLA2"	"gene expression"	"up"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-3d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"4"	"390"	"SUCLA2"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_390.txt"	"hipc_gene_dir_complete_27534615_390.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"TUBG1"	"gene expression"	"up"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-3d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"4"	"390"	"TUBG1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_390.txt"	"hipc_gene_dir_complete_27534615_390.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"ACSL4"	"gene expression"	"up"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-3d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"4"	"390"	"ACSL4"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_390.txt"	"hipc_gene_dir_complete_27534615_390.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"FYN"	"gene expression"	"up"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-3d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"4"	"390"	"FYN"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_390.txt"	"hipc_gene_dir_complete_27534615_390.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"GALR2"	"gene expression"	"up"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-3d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"4"	"390"	"GALR2"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_390.txt"	"hipc_gene_dir_complete_27534615_390.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"NF1"	"gene expression"	"up"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-3d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"4"	"390"	"NF1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_390.txt"	"hipc_gene_dir_complete_27534615_390.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"S100B"	"gene expression"	"up"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-3d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"4"	"390"	"S100B"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_390.txt"	"hipc_gene_dir_complete_27534615_390.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"VLDLR"	"gene expression"	"up"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-3d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"4"	"390"	"VLDLR"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_390.txt"	"hipc_gene_dir_complete_27534615_390.txt"
