""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"signature_file"	"complete_signature_file"
""	"hipc_gene_dir_27441275"	"2016.05"	"hipc_gene_dir_15"	"peripheral blood mononuclear cell"	"TNNT1"	"gene expression"	"down"	"none"	"0"	"Days"	"2010"	"Fluarix"	"VO_0000045"	""	"responders vs nonresponders"	"time of vaccination (first dose)"	"adults (55-64)"	"27441275"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27441275"	"adults, seniors"	"55"	"64"	"years"	"2"	"92"	"TNNT1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27441275_92.txt"	"hipc_gene_dir_complete_27441275_92.txt"
""	"hipc_gene_dir_27441275"	"2016.05"	"hipc_gene_dir_15"	"peripheral blood mononuclear cell"	"DUSP18"	"gene expression"	"down"	"none"	"0"	"Days"	"2010"	"Fluarix"	"VO_0000045"	""	"responders vs nonresponders"	"time of vaccination (first dose)"	"adults (55-64)"	"27441275"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27441275"	"adults, seniors"	"55"	"64"	"years"	"2"	"92"	"DUSP18"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27441275_92.txt"	"hipc_gene_dir_complete_27441275_92.txt"
""	"hipc_gene_dir_27441275"	"2016.05"	"hipc_gene_dir_15"	"peripheral blood mononuclear cell"	"LOC100288846"	"gene expression"	"down"	"none"	"0"	"Days"	"2010"	"Fluarix"	"VO_0000045"	""	"responders vs nonresponders"	"time of vaccination (first dose)"	"adults (55-64)"	"27441275"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27441275"	"adults, seniors"	"55"	"64"	"years"	"2"	"92"	"LOC100288846"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27441275_92.txt"	"hipc_gene_dir_complete_27441275_92.txt"
""	"hipc_gene_dir_27441275"	"2016.05"	"hipc_gene_dir_15"	"peripheral blood mononuclear cell"	"INIP"	"gene expression"	"down"	"none"	"0"	"Days"	"2010"	"Fluarix"	"VO_0000045"	""	"responders vs nonresponders"	"time of vaccination (first dose)"	"adults (55-64)"	"27441275"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27441275"	"adults, seniors"	"55"	"64"	"years"	"2"	"92"	"C9orf80"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27441275_92.txt"	"hipc_gene_dir_complete_27441275_92.txt"
""	"hipc_gene_dir_27441275"	"2016.05"	"hipc_gene_dir_15"	"peripheral blood mononuclear cell"	"TMED5"	"gene expression"	"down"	"none"	"0"	"Days"	"2010"	"Fluarix"	"VO_0000045"	""	"responders vs nonresponders"	"time of vaccination (first dose)"	"adults (55-64)"	"27441275"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27441275"	"adults, seniors"	"55"	"64"	"years"	"2"	"92"	"TMED5"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27441275_92.txt"	"hipc_gene_dir_complete_27441275_92.txt"
""	"hipc_gene_dir_27441275"	"2016.05"	"hipc_gene_dir_15"	"peripheral blood mononuclear cell"	"SHISA4"	"gene expression"	"down"	"none"	"0"	"Days"	"2010"	"Fluarix"	"VO_0000045"	""	"responders vs nonresponders"	"time of vaccination (first dose)"	"adults (55-64)"	"27441275"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27441275"	"adults, seniors"	"55"	"64"	"years"	"2"	"92"	"SHISA4"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27441275_92.txt"	"hipc_gene_dir_complete_27441275_92.txt"
""	"hipc_gene_dir_27441275"	"2016.05"	"hipc_gene_dir_15"	"peripheral blood mononuclear cell"	"AP3S1"	"gene expression"	"down"	"none"	"0"	"Days"	"2010"	"Fluarix"	"VO_0000045"	""	"responders vs nonresponders"	"time of vaccination (first dose)"	"adults (55-64)"	"27441275"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27441275"	"adults, seniors"	"55"	"64"	"years"	"2"	"92"	"AP3S1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27441275_92.txt"	"hipc_gene_dir_complete_27441275_92.txt"
""	"hipc_gene_dir_27441275"	"2016.05"	"hipc_gene_dir_15"	"peripheral blood mononuclear cell"	"GET3"	"gene expression"	"down"	"none"	"0"	"Days"	"2010"	"Fluarix"	"VO_0000045"	""	"responders vs nonresponders"	"time of vaccination (first dose)"	"adults (55-64)"	"27441275"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27441275"	"adults, seniors"	"55"	"64"	"years"	"2"	"92"	"ASNA1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27441275_92.txt"	"hipc_gene_dir_complete_27441275_92.txt"
""	"hipc_gene_dir_27441275"	"2016.05"	"hipc_gene_dir_15"	"peripheral blood mononuclear cell"	"SFXN3"	"gene expression"	"down"	"none"	"0"	"Days"	"2010"	"Fluarix"	"VO_0000045"	""	"responders vs nonresponders"	"time of vaccination (first dose)"	"adults (55-64)"	"27441275"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27441275"	"adults, seniors"	"55"	"64"	"years"	"2"	"92"	"SFXN3"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27441275_92.txt"	"hipc_gene_dir_complete_27441275_92.txt"
""	"hipc_gene_dir_27441275"	"2016.05"	"hipc_gene_dir_15"	"peripheral blood mononuclear cell"	"RDX"	"gene expression"	"down"	"none"	"0"	"Days"	"2010"	"Fluarix"	"VO_0000045"	""	"responders vs nonresponders"	"time of vaccination (first dose)"	"adults (55-64)"	"27441275"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27441275"	"adults, seniors"	"55"	"64"	"years"	"2"	"92"	"RDX"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27441275_92.txt"	"hipc_gene_dir_complete_27441275_92.txt"
""	"hipc_gene_dir_27441275"	"2016.05"	"hipc_gene_dir_15"	"peripheral blood mononuclear cell"	"FBXL18"	"gene expression"	"down"	"none"	"0"	"Days"	"2010"	"Fluarix"	"VO_0000045"	""	"responders vs nonresponders"	"time of vaccination (first dose)"	"adults (55-64)"	"27441275"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27441275"	"adults, seniors"	"55"	"64"	"years"	"2"	"92"	"FBXL18"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27441275_92.txt"	"hipc_gene_dir_complete_27441275_92.txt"
""	"hipc_gene_dir_27441275"	"2016.05"	"hipc_gene_dir_15"	"peripheral blood mononuclear cell"	"ISL2"	"gene expression"	"down"	"none"	"0"	"Days"	"2010"	"Fluarix"	"VO_0000045"	""	"responders vs nonresponders"	"time of vaccination (first dose)"	"adults (55-64)"	"27441275"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27441275"	"adults, seniors"	"55"	"64"	"years"	"2"	"92"	"ISL2"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27441275_92.txt"	"hipc_gene_dir_complete_27441275_92.txt"
""	"hipc_gene_dir_27441275"	"2016.05"	"hipc_gene_dir_15"	"peripheral blood mononuclear cell"	"ZFAND6"	"gene expression"	"down"	"none"	"0"	"Days"	"2010"	"Fluarix"	"VO_0000045"	""	"responders vs nonresponders"	"time of vaccination (first dose)"	"adults (55-64)"	"27441275"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27441275"	"adults, seniors"	"55"	"64"	"years"	"2"	"92"	"ZFAND6"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27441275_92.txt"	"hipc_gene_dir_complete_27441275_92.txt"
""	"hipc_gene_dir_27441275"	"2016.05"	"hipc_gene_dir_15"	"peripheral blood mononuclear cell"	"PCBD1"	"gene expression"	"down"	"none"	"0"	"Days"	"2010"	"Fluarix"	"VO_0000045"	""	"responders vs nonresponders"	"time of vaccination (first dose)"	"adults (55-64)"	"27441275"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27441275"	"adults, seniors"	"55"	"64"	"years"	"2"	"92"	"PCBD1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27441275_92.txt"	"hipc_gene_dir_complete_27441275_92.txt"
""	"hipc_gene_dir_27441275"	"2016.05"	"hipc_gene_dir_15"	"peripheral blood mononuclear cell"	"SPATA24"	"gene expression"	"up"	"none"	"3"	"Days"	"2010"	"Fluarix"	"VO_0000045"	""	"responders vs nonresponders"	"time of vaccination (first dose)"	"adults (55-64)"	"27441275"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27441275"	"adults, seniors"	"55"	"64"	"years"	"3"	"93"	"SPATA24"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27441275_93.txt"	"hipc_gene_dir_complete_27441275_93.txt"
""	"hipc_gene_dir_27441275"	"2016.05"	"hipc_gene_dir_15"	"peripheral blood mononuclear cell"	"KRT73"	"gene expression"	"up"	"none"	"3"	"Days"	"2010"	"Fluarix"	"VO_0000045"	""	"responders vs nonresponders"	"time of vaccination (first dose)"	"adults (55-64)"	"27441275"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27441275"	"adults, seniors"	"55"	"64"	"years"	"3"	"93"	"KRT73"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27441275_93.txt"	"hipc_gene_dir_complete_27441275_93.txt"
""	"hipc_gene_dir_27441275"	"2016.05"	"hipc_gene_dir_15"	"peripheral blood mononuclear cell"	"NUDT2"	"gene expression"	"up"	"none"	"3"	"Days"	"2010"	"Fluarix"	"VO_0000045"	""	"responders vs nonresponders"	"time of vaccination (first dose)"	"adults (55-64)"	"27441275"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27441275"	"adults, seniors"	"55"	"64"	"years"	"3"	"93"	"NUDT2"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27441275_93.txt"	"hipc_gene_dir_complete_27441275_93.txt"
""	"hipc_gene_dir_27441275"	"2016.05"	"hipc_gene_dir_15"	"peripheral blood mononuclear cell"	"MRPL44"	"gene expression"	"up"	"none"	"3"	"Days"	"2010"	"Fluarix"	"VO_0000045"	""	"responders vs nonresponders"	"time of vaccination (first dose)"	"adults (55-64)"	"27441275"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27441275"	"adults, seniors"	"55"	"64"	"years"	"3"	"93"	"MRPL44"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27441275_93.txt"	"hipc_gene_dir_complete_27441275_93.txt"
""	"hipc_gene_dir_27441275"	"2016.05"	"hipc_gene_dir_15"	"peripheral blood mononuclear cell"	"C17orf97"	"gene expression"	"down"	"none"	"3"	"Days"	"2010"	"Fluarix"	"VO_0000045"	""	"responders vs nonresponders"	"time of vaccination (first dose)"	"adults (55-64)"	"27441275"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27441275"	"adults, seniors"	"55"	"64"	"years"	"4"	"94"	"LIAT1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27441275_94.txt"	"hipc_gene_dir_complete_27441275_94.txt"
""	"hipc_gene_dir_27441275"	"2016.05"	"hipc_gene_dir_15"	"peripheral blood mononuclear cell"	"SPIRE1"	"gene expression"	"down"	"none"	"3"	"Days"	"2010"	"Fluarix"	"VO_0000045"	""	"responders vs nonresponders"	"time of vaccination (first dose)"	"adults (55-64)"	"27441275"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27441275"	"adults, seniors"	"55"	"64"	"years"	"4"	"94"	"SPIRE1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27441275_94.txt"	"hipc_gene_dir_complete_27441275_94.txt"
""	"hipc_gene_dir_27441275"	"2016.05"	"hipc_gene_dir_15"	"peripheral blood mononuclear cell"	"CTAGE1"	"gene expression"	"down"	"none"	"3"	"Days"	"2010"	"Fluarix"	"VO_0000045"	""	"responders vs nonresponders"	"time of vaccination (first dose)"	"adults (55-64)"	"27441275"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27441275"	"adults, seniors"	"55"	"64"	"years"	"4"	"94"	"CTAGE1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27441275_94.txt"	"hipc_gene_dir_complete_27441275_94.txt"
""	"hipc_gene_dir_27441275"	"2016.05"	"hipc_gene_dir_15"	"peripheral blood mononuclear cell"	"SPNS2"	"gene expression"	"down"	"none"	"3"	"Days"	"2010"	"Fluarix"	"VO_0000045"	""	"responders vs nonresponders"	"time of vaccination (first dose)"	"adults (55-64)"	"27441275"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27441275"	"adults, seniors"	"55"	"64"	"years"	"4"	"94"	"SPNS2"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27441275_94.txt"	"hipc_gene_dir_complete_27441275_94.txt"
""	"hipc_gene_dir_27441275"	"2016.05"	"hipc_gene_dir_15"	"peripheral blood mononuclear cell"	"ARHGEF10"	"gene expression"	"up"	"none"	"28"	"Days"	"2010"	"Fluarix"	"VO_0000045"	""	"responders vs nonresponders"	"time of vaccination (first dose)"	"adults (55-64)"	"27441275"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27441275"	"adults, seniors"	"55"	"64"	"years"	"5"	"95"	"ARHGEF10"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27441275_95.txt"	"hipc_gene_dir_complete_27441275_95.txt"
""	"hipc_gene_dir_27441275"	"2016.05"	"hipc_gene_dir_15"	"peripheral blood mononuclear cell"	"CUL1"	"gene expression"	"up"	"none"	"28"	"Days"	"2010"	"Fluarix"	"VO_0000045"	""	"responders vs nonresponders"	"time of vaccination (first dose)"	"adults (55-64)"	"27441275"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27441275"	"adults, seniors"	"55"	"64"	"years"	"5"	"95"	"CUL1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27441275_95.txt"	"hipc_gene_dir_complete_27441275_95.txt"
""	"hipc_gene_dir_27441275"	"2016.05"	"hipc_gene_dir_15"	"peripheral blood mononuclear cell"	"PMS2CL"	"gene expression"	"up"	"none"	"28"	"Days"	"2010"	"Fluarix"	"VO_0000045"	""	"responders vs nonresponders"	"time of vaccination (first dose)"	"adults (55-64)"	"27441275"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27441275"	"adults, seniors"	"55"	"64"	"years"	"5"	"95"	"PMS2CL"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27441275_95.txt"	"hipc_gene_dir_complete_27441275_95.txt"
""	"hipc_gene_dir_27441275"	"2016.05"	"hipc_gene_dir_15"	"peripheral blood mononuclear cell"	"GRPEL2"	"gene expression"	"up"	"none"	"28"	"Days"	"2010"	"Fluarix"	"VO_0000045"	""	"responders vs nonresponders"	"time of vaccination (first dose)"	"adults (55-64)"	"27441275"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27441275"	"adults, seniors"	"55"	"64"	"years"	"5"	"95"	"GRPEL2"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27441275_95.txt"	"hipc_gene_dir_complete_27441275_95.txt"
""	"hipc_gene_dir_27441275"	"2016.05"	"hipc_gene_dir_15"	"peripheral blood mononuclear cell"	"MBTPS1"	"gene expression"	"up"	"none"	"28"	"Days"	"2010"	"Fluarix"	"VO_0000045"	""	"responders vs nonresponders"	"time of vaccination (first dose)"	"adults (55-64)"	"27441275"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27441275"	"adults, seniors"	"55"	"64"	"years"	"5"	"95"	"MBTPS1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27441275_95.txt"	"hipc_gene_dir_complete_27441275_95.txt"
""	"hipc_gene_dir_27441275"	"2016.05"	"hipc_gene_dir_15"	"peripheral blood mononuclear cell"	"PHF2"	"gene expression"	"up"	"none"	"28"	"Days"	"2010"	"Fluarix"	"VO_0000045"	""	"responders vs nonresponders"	"time of vaccination (first dose)"	"adults (55-64)"	"27441275"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27441275"	"adults, seniors"	"55"	"64"	"years"	"5"	"95"	"PHF2"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27441275_95.txt"	"hipc_gene_dir_complete_27441275_95.txt"
""	"hipc_gene_dir_27441275"	"2016.05"	"hipc_gene_dir_15"	"peripheral blood mononuclear cell"	"MIR155HG"	"gene expression"	"up"	"none"	"28"	"Days"	"2010"	"Fluarix"	"VO_0000045"	""	"responders vs nonresponders"	"time of vaccination (first dose)"	"adults (55-64)"	"27441275"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27441275"	"adults, seniors"	"55"	"64"	"years"	"5"	"95"	"MIR155HG"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27441275_95.txt"	"hipc_gene_dir_complete_27441275_95.txt"
""	"hipc_gene_dir_27441275"	"2016.05"	"hipc_gene_dir_15"	"peripheral blood mononuclear cell"	"ATP13A4"	"gene expression"	"up"	"none"	"28"	"Days"	"2010"	"Fluarix"	"VO_0000045"	""	"responders vs nonresponders"	"time of vaccination (first dose)"	"adults (55-64)"	"27441275"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27441275"	"adults, seniors"	"55"	"64"	"years"	"5"	"95"	"ATP13A4"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27441275_95.txt"	"hipc_gene_dir_complete_27441275_95.txt"
""	"hipc_gene_dir_27441275"	"2016.05"	"hipc_gene_dir_15"	"peripheral blood mononuclear cell"	"KAT2B"	"gene expression"	"up"	"none"	"28"	"Days"	"2010"	"Fluarix"	"VO_0000045"	""	"responders vs nonresponders"	"time of vaccination (first dose)"	"adults (55-64)"	"27441275"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27441275"	"adults, seniors"	"55"	"64"	"years"	"5"	"95"	"KAT2B"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27441275_95.txt"	"hipc_gene_dir_complete_27441275_95.txt"
""	"hipc_gene_dir_27441275"	"2016.05"	"hipc_gene_dir_15"	"peripheral blood mononuclear cell"	"SCRIB"	"gene expression"	"up"	"none"	"28"	"Days"	"2010"	"Fluarix"	"VO_0000045"	""	"responders vs nonresponders"	"time of vaccination (first dose)"	"adults (55-64)"	"27441275"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27441275"	"adults, seniors"	"55"	"64"	"years"	"5"	"95"	"SCRIB"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27441275_95.txt"	"hipc_gene_dir_complete_27441275_95.txt"
""	"hipc_gene_dir_27441275"	"2016.05"	"hipc_gene_dir_15"	"peripheral blood mononuclear cell"	"C17orf97"	"gene expression"	"down"	"none"	"28"	"Days"	"2010"	"Fluarix"	"VO_0000045"	""	"responders vs nonresponders"	"time of vaccination (first dose)"	"adults (55-64)"	"27441275"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27441275"	"adults, seniors"	"55"	"64"	"years"	"6"	"96"	"LIAT1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27441275_96.txt"	"hipc_gene_dir_complete_27441275_96.txt"
""	"hipc_gene_dir_27441275"	"2016.05"	"hipc_gene_dir_15"	"peripheral blood mononuclear cell"	"AP1M2"	"gene expression"	"down"	"none"	"28"	"Days"	"2010"	"Fluarix"	"VO_0000045"	""	"responders vs nonresponders"	"time of vaccination (first dose)"	"adults (55-64)"	"27441275"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27441275"	"adults, seniors"	"55"	"64"	"years"	"6"	"96"	"AP1M2"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27441275_96.txt"	"hipc_gene_dir_complete_27441275_96.txt"
""	"hipc_gene_dir_27441275"	"2016.05"	"hipc_gene_dir_15"	"peripheral blood mononuclear cell"	"NCKIPSD"	"gene expression"	"down"	"none"	"28"	"Days"	"2010"	"Fluarix"	"VO_0000045"	""	"responders vs nonresponders"	"time of vaccination (first dose)"	"adults (55-64)"	"27441275"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27441275"	"adults, seniors"	"55"	"64"	"years"	"6"	"96"	"NCKIPSD"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27441275_96.txt"	"hipc_gene_dir_complete_27441275_96.txt"
""	"hipc_gene_dir_27441275"	"2016.05"	"hipc_gene_dir_15"	"peripheral blood mononuclear cell"	"B3GNTL1"	"gene expression"	"down"	"none"	"28"	"Days"	"2010"	"Fluarix"	"VO_0000045"	""	"responders vs nonresponders"	"time of vaccination (first dose)"	"adults (55-64)"	"27441275"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27441275"	"adults, seniors"	"55"	"64"	"years"	"6"	"96"	"B3GNTL1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27441275_96.txt"	"hipc_gene_dir_complete_27441275_96.txt"
""	"hipc_gene_dir_27441275"	"2016.05"	"hipc_gene_dir_15"	"peripheral blood mononuclear cell"	"TMEM104"	"gene expression"	"down"	"none"	"28"	"Days"	"2010"	"Fluarix"	"VO_0000045"	""	"responders vs nonresponders"	"time of vaccination (first dose)"	"adults (55-64)"	"27441275"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27441275"	"adults, seniors"	"55"	"64"	"years"	"6"	"96"	"TMEM104"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27441275_96.txt"	"hipc_gene_dir_complete_27441275_96.txt"
""	"hipc_gene_dir_27441275"	"2016.05"	"hipc_gene_dir_15"	"peripheral blood mononuclear cell"	"PEF1"	"gene expression"	"down"	"none"	"28"	"Days"	"2010"	"Fluarix"	"VO_0000045"	""	"responders vs nonresponders"	"time of vaccination (first dose)"	"adults (55-64)"	"27441275"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27441275"	"adults, seniors"	"55"	"64"	"years"	"6"	"96"	"PEF1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27441275_96.txt"	"hipc_gene_dir_complete_27441275_96.txt"
""	"hipc_gene_dir_27441275"	"2016.05"	"hipc_gene_dir_15"	"peripheral blood mononuclear cell"	"SLC38A9"	"gene expression"	"down"	"none"	"28"	"Days"	"2010"	"Fluarix"	"VO_0000045"	""	"responders vs nonresponders"	"time of vaccination (first dose)"	"adults (55-64)"	"27441275"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27441275"	"adults, seniors"	"55"	"64"	"years"	"6"	"96"	"SLC38A9"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27441275_96.txt"	"hipc_gene_dir_complete_27441275_96.txt"
