""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"response_component_original"	"exposure_material_1"	"exposure_material_2"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"signature_file"	"complete_signature_file"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"ADCK5"	"gene expression"	"up"	"none"	"30"	"Days"	"2010"	"Fluzone"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"5"	"253"	"ADCK5"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_253.txt"	"hipc_gene_dir_complete_24495909_253.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"METTL2A"	"gene expression"	"up"	"none"	"30"	"Days"	"2010"	"Fluzone"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"5"	"253"	"METTL2A"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_253.txt"	"hipc_gene_dir_complete_24495909_253.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"BTRC"	"gene expression"	"up"	"none"	"30"	"Days"	"2010"	"Fluzone"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"5"	"253"	"BTRC"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_253.txt"	"hipc_gene_dir_complete_24495909_253.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"SPRING1"	"gene expression"	"up"	"none"	"30"	"Days"	"2010"	"Fluzone"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"5"	"253"	"SPRING1"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_253.txt"	"hipc_gene_dir_complete_24495909_253.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"P2RY14"	"gene expression"	"down"	"none"	"30"	"Days"	"2010"	"Fluzone"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"6"	"254"	"P2RY14"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_254.txt"	"hipc_gene_dir_complete_24495909_254.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"TMEM229B"	"gene expression"	"down"	"none"	"30"	"Days"	"2010"	"Fluzone"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"6"	"254"	"TMEM229B"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_254.txt"	"hipc_gene_dir_complete_24495909_254.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"PHOSPHO2"	"gene expression"	"down"	"none"	"30"	"Days"	"2010"	"Fluzone"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"6"	"254"	"PHOSPHO2"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_254.txt"	"hipc_gene_dir_complete_24495909_254.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"AIFM1"	"gene expression"	"down"	"none"	"30"	"Days"	"2010"	"Fluzone"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"6"	"254"	"AIFM1"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_254.txt"	"hipc_gene_dir_complete_24495909_254.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"CCDC51"	"gene expression"	"down"	"none"	"30"	"Days"	"2010"	"Fluzone"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"6"	"254"	"CCDC51"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_254.txt"	"hipc_gene_dir_complete_24495909_254.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"USP1"	"gene expression"	"down"	"none"	"30"	"Days"	"2010"	"Fluzone"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"6"	"254"	"USP1"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_254.txt"	"hipc_gene_dir_complete_24495909_254.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"CTDSP1"	"gene expression"	"down"	"none"	"30"	"Days"	"2010"	"Fluzone"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"6"	"254"	"CTDSP1"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_254.txt"	"hipc_gene_dir_complete_24495909_254.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"TMEM106A"	"gene expression"	"down"	"none"	"30"	"Days"	"2010"	"Fluzone"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"6"	"254"	"TMEM106A"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_254.txt"	"hipc_gene_dir_complete_24495909_254.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"STK40"	"gene expression"	"up"	"none"	"1"	"Day"	"2010"	"FluMist"	""	"1d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"7"	"255"	"STK40"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_255.txt"	"hipc_gene_dir_complete_24495909_255.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"DSCC1"	"gene expression"	"up"	"none"	"1"	"Day"	"2010"	"FluMist"	""	"1d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"7"	"255"	"DSCC1"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_255.txt"	"hipc_gene_dir_complete_24495909_255.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"FLVCR1"	"gene expression"	"up"	"none"	"1"	"Day"	"2010"	"FluMist"	""	"1d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"7"	"255"	"FLVCR1"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_255.txt"	"hipc_gene_dir_complete_24495909_255.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"TRAPPC6B"	"gene expression"	"up"	"none"	"1"	"Day"	"2010"	"FluMist"	""	"1d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"7"	"255"	"TRAPPC6B"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_255.txt"	"hipc_gene_dir_complete_24495909_255.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"URB1"	"gene expression"	"up"	"none"	"1"	"Day"	"2010"	"FluMist"	""	"1d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"7"	"255"	"URB1"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_255.txt"	"hipc_gene_dir_complete_24495909_255.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"CPT1A"	"gene expression"	"up"	"none"	"1"	"Day"	"2010"	"FluMist"	""	"1d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"7"	"255"	"CPT1A"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_255.txt"	"hipc_gene_dir_complete_24495909_255.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"CHTF8"	"gene expression"	"up"	"none"	"1"	"Day"	"2010"	"FluMist"	""	"1d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"7"	"255"	"CHTF8"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_255.txt"	"hipc_gene_dir_complete_24495909_255.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"MTCH2"	"gene expression"	"down"	"none"	"1"	"Day"	"2010"	"FluMist"	""	"1d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"8"	"256"	"MTCH2"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_256.txt"	"hipc_gene_dir_complete_24495909_256.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"PCGF3"	"gene expression"	"down"	"none"	"1"	"Day"	"2010"	"FluMist"	""	"1d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"8"	"256"	"PCGF3"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_256.txt"	"hipc_gene_dir_complete_24495909_256.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"MFSD12"	"gene expression"	"down"	"none"	"1"	"Day"	"2010"	"FluMist"	""	"1d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"8"	"256"	"MFSD12"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_256.txt"	"hipc_gene_dir_complete_24495909_256.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"ATP9B"	"gene expression"	"down"	"none"	"1"	"Day"	"2010"	"FluMist"	""	"1d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"8"	"256"	"ATP9B"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_256.txt"	"hipc_gene_dir_complete_24495909_256.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"MSRB3"	"gene expression"	"down"	"none"	"1"	"Day"	"2010"	"FluMist"	""	"1d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"8"	"256"	"MSRB3"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_256.txt"	"hipc_gene_dir_complete_24495909_256.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"SASS6"	"gene expression"	"down"	"none"	"1"	"Day"	"2010"	"FluMist"	""	"1d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"8"	"256"	"SASS6"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_256.txt"	"hipc_gene_dir_complete_24495909_256.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"PRDM10"	"gene expression"	"down"	"none"	"1"	"Day"	"2010"	"FluMist"	""	"1d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"8"	"256"	"PRDM10"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_256.txt"	"hipc_gene_dir_complete_24495909_256.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"RORA"	"gene expression"	"down"	"none"	"1"	"Day"	"2010"	"FluMist"	""	"1d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"8"	"256"	"RORA"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_256.txt"	"hipc_gene_dir_complete_24495909_256.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"OAS2"	"gene expression"	"up"	"none"	"7"	"Days"	"2010"	"FluMist"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"9"	"257"	"OAS2"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_257.txt"	"hipc_gene_dir_complete_24495909_257.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"ICA1"	"gene expression"	"up"	"none"	"7"	"Days"	"2010"	"FluMist"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"9"	"257"	"ICA1"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_257.txt"	"hipc_gene_dir_complete_24495909_257.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"DSCC1"	"gene expression"	"up"	"none"	"7"	"Days"	"2010"	"FluMist"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"9"	"257"	"DSCC1"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_257.txt"	"hipc_gene_dir_complete_24495909_257.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"MASTL"	"gene expression"	"up"	"none"	"7"	"Days"	"2010"	"FluMist"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"9"	"257"	"MASTL"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_257.txt"	"hipc_gene_dir_complete_24495909_257.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"C11orf24"	"gene expression"	"up"	"none"	"7"	"Days"	"2010"	"FluMist"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"9"	"257"	"C11orf24"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_257.txt"	"hipc_gene_dir_complete_24495909_257.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"BCAS2"	"gene expression"	"up"	"none"	"7"	"Days"	"2010"	"FluMist"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"9"	"257"	"BCAS2"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_257.txt"	"hipc_gene_dir_complete_24495909_257.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"FASLG"	"gene expression"	"up"	"none"	"7"	"Days"	"2010"	"FluMist"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"9"	"257"	"FASLG"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_257.txt"	"hipc_gene_dir_complete_24495909_257.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"PPP1R8"	"gene expression"	"down"	"none"	"7"	"Days"	"2010"	"FluMist"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"10"	"258"	"PPP1R8"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_258.txt"	"hipc_gene_dir_complete_24495909_258.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"ASB16-AS1"	"gene expression"	"down"	"none"	"7"	"Days"	"2010"	"FluMist"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"10"	"258"	"ASB16-AS1"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_258.txt"	"hipc_gene_dir_complete_24495909_258.txt"
