name	id	definition	comment	broad	exact	related
amacrine cell	CL_0000561	Interneuron of the vertebrate retina. They integrate, modulate, and interpose a temporal domain in the visual message presented to the retinal ganglion cells, with which they synapse in the inner plexiform layer. They lack large axons.	Not clear if this term overlaps with retinal bipolar neuron (CL:0000748).		amacrine neuron	
nucleate erythrocyte	CL_0000562	An erythrocyte having a nucleus.		RBC|red blood cell		
endospore	CL_0000563	A rounded, inactive form that certain bacteria assume under conditions of extreme temperature, dryness, or lack of food. The bacterium develops a waterproof cell wall that protects it from being dried out or damaged.			bacterial spore	
neutrophilic promyelocyte	CL_0000564	A promyelocyte committed to the neutrophil lineage. This cell type is GATA-1-positive, C/EBPa-positive, AML-1-positive, MPO-positive, has low expression of PU.1 transcription factor and lacks lactotransferrin expression.	These cells are CD11b-negative, CD15-positive, CD16-negative, CD49d-positive, CD68-positive, CD35-negative, and fMLP receptor-negative. They are found in the Band 3 fraction.		neutrophilic premyelocyte|neutrophilic progranulocyte	
fat body cell	CL_0000565	A cell found in fat bodies whose primary function is intermediary metabolism.				
angioblastic mesenchymal cell	CL_0000566	A mesenchymal stem cell capable of developing into blood vessel endothelium.	These cells are reportedly CD31-positive, CD34-positive, CD144-positive, CD309-positive, and TAL1-positive.		chondroplast|angioblast	
polymodal nocireceptor	CL_0000567					
amine precursor uptake and decarboxylation cell	CL_0000568	A cell that originates in the neural crest, that has certain cytochemical and ultrastructural characteristics and is found scattered throughout the body; types include melanocytes, the cells of the chromaffin system, and cells in the hypothalamus, hypophysis, thyroid, parathyroids, lungs, gastrointestinal tract, and pancreas. This cell type concentrates the amino acid precursors of certain amines and decarboxylate them, forming amines that function as regulators and neurotransmitters. This cell type produces substances such as epinephrine, norepinephrine, dopamine, serotonin, enkephalin, somatostatin, neurotensin, and substance P, the actions of which may affect contiguous cells, nearby groups of cells, or distant cells, thus functioning as local or systemic hormones. The name is an acronym for amine precursor uptake and decarboxylation cell.			APUD cell	
cardiac mesenchymal cell	CL_0000569	A mesenchymal cell found in the developing heart and that develops into some part of the heart.  These cells derive from intra- and extra-cardiac sources, including the endocardium, epicardium, neural crest, and second heart field.				
parafollicular cell	CL_0000570	A neuroepithelial cells that occurs singly or in small groups, close to the outer follicular borders but within the follicular basement membrane of the thyroid. Expresses a form of the neural cell adhesion molecule (N-CAM) on their surface. Secretes calcitonin, 5-hydroxytryptamine and dopamine.			C cell of thyroid gland|clear cell of thyroid gland|C cell|parafollicular cell of thyroid gland|thyroid parafollicular cell	
leucophore	CL_0000571	A pigment cell derived from the neural crest. Contains uric acid or other purine crystals deposited in stacks called leucosomes. The crystals reflect light and this gives a white appearance under white light.				
retinal cone cell	CL_0000573	One of the two photoreceptor cell types in the vertebrate retina. In cones the photopigment is in invaginations of the cell membrane of the outer segment. Cones are less sensitive to light than rods, but they provide vision with higher spatial and temporal acuity, and the combination of signals from cones with different pigments allows color vision.				
erythrophore	CL_0000574	A pigment cell derived from the neural crest. Contains pteridine and/or carotenoid pigments in structures called pterinosomes or erythrosomes. This gives an orange to red appearance.				
corneal epithelial cell	CL_0000575	An epithelial cell of the cornea.			epithelial cell of cornea	
monocyte	CL_0000576	Myeloid mononuclear recirculating leukocyte that can act as a precursor of tissue macrophages, osteoclasts and some populations of tissue dendritic cells.	Morphology: Mononuclear cell, diameter, 14 to 20 _M, N/C ratio 2:1-1:1. Nucleus may appear in variety of shapes: round, kidney, lobulated, or convoluted. Fine azurophilic granules present; markers: CD11b (shared with other myeloid cells), human: CD14, mouse: F4/80-mid,GR1-low; location: Blood, but can be recruited into tissues; role or process: immune & tissue remodelling; lineage: hematopoietic, myeloid.			
type EC enteroendocrine cell	CL_0000577	A subtype of enteroendocrine cells found in the gastrointestinal mucosa, particularly in the glands of pyloric antrum; duodenum; and ileum. These cell type secretes serotonin and some neurotransmitters including enkephalins and substance P. Their secretory granules stain readily with silver (argentaffin stain).			enterochromaffin cell|argentaffin cell|Kulchitsky cell	
experimentally modified cell in vitro	CL_0000578	A cell in vitro that has undergone physical changes as a consequence of a deliberate and specific experimental procedure.	This class has been re-labeled to imply reference only to in vitro experimentally modified cells, similarly, the definition has been slightly updated to reflect this. 'experimentally modified cell' refers only to cells in vitro, and not modified in vivo/in environment cells. There is currently no class representing unmodified in vitro cells (other than the parent 'cell in vitro'), or a class representing modified native cells. More granular subclassing of experimentally modified cell can be found in ReO. MHB 1.12.12			
border follicle cell	CL_0000579					
neutrophilic myelocyte	CL_0000580	A neutrophil precursor in the granulocytic series, being a cell intermediate in development between a promyelocyte and a metamyelocyte; in this stage, production of primary granules is complete and neutrophil-specific granules has started. No nucleolus is present. This cell type is CD13-positive, CD16-negative, integrin alpha-M-positive, CD15-positive, CD33-positive, CD24-positive, C/EBP-a-positive, C/EBPe-positive, PU.1-positive, lactotransferrin-positive, myeloperoxidase-positive and NGAL-positive.	These cells are also CD15-positive, CD35-negative, CD49d-positive, and fMLP receptor-negative. They are found in the Band 2 fraction.			
peritoneal macrophage	CL_0000581	A macrophage resident in the peritoneum under non-inflammatory conditions. Markers include F4/80-high, CD11b-high, CD68-positive, SIGNR1-positive, CD115-high, MHC-II-negative, and Dectin-1-positive.	Markers: Mouse: F4/80-high, CD11b-high, CD68+, SIGNR1+, Dectin-1+.			
neutrophilic metamyelocyte	CL_0000582	A neutrophil precursor in the granulocytic series, being a cell intermediate in development between a myelocyte and the band form neutrophil. The protein synthesis seen in earlier stages decreases or stops; the nucleus becomes indented where the indentation is smaller than half the distance to the farthest nuclear margin; chromatin becomes coarse and clumped; specific granules predominate while primary granules are rare; and the cytoplasm becomes amphophilic like that of a mature granulocyte. This cell type is integrin alpha-M-positive, CD13-negative, CD15-positive, CD16-positive, CD33-positive, CD24-positive, fMLP receptor-negative and has expression of C/EBP-a, C/EBP-e, PU.1 transcription factor, lactotransferrin, myeloperoxidase and neutrophil gelatinase associated lipocalin.	These cells are also CD35-negative, CD49d-positive, and fMLP receptor-negative. They are found in the Band 2 fraction.		juvenile neutrophil	
alveolar macrophage	CL_0000583	A tissue-resident macrophage found in the alveoli of the lungs. Ingests small inhaled particles resulting in degradation and presentation of the antigen to immunocompetent cells. Markers include F4/80-positive, CD11b-/low, CD11c-positive, CD68-positive, sialoadhesin-positive, dectin-1-positive, MR-positive, CX3CR1-negative.	Markers: Mouse: F4/80mid, CD11b-/low, CD11c+, CD68+, sialoadhesin+, dectin-1+, MR+, CX3CR1-.		dust cell	MF.Lu
enterocyte	CL_0000584	An epithelial cell that has its apical plasma membrane folded into microvilli to provide ample surface for the absorption of nutrients from the intestinal lumen.				
obsolete null cell	CL_0000585	OBSOLETE: A class of lymphocytes characterized by the lack of surface markers specific for either T or B cells.	This term is rather archaic; consider using 'natural killer cell ; CL:0000623', 'pro-B cell ; CL:0000826', 'pro-T cell ; CL:0000827', or other appropriate lymphocyte-related term depending on the context.			
germ cell	CL_0000586	The reproductive cell in multicellular organisms.				
cold sensing thermoreceptor cell	CL_0000587	A thermoreceptor cell that detects reduced temperatures.				
odontoclast	CL_0000588	A specialized osteoclast associated with the absorption and removal of cementum.				
cochlear inner hair cell	CL_0000589	A bulbous cell that is medially placed in one row in the organ of Corti. In contrast to the outer hair cells, the inner hair cells are fewer in number, have fewer sensory hairs, and are less differentiated.		inner hair cell		
small luteal cell	CL_0000590	A progesterone secreting cell in the corpus luteum that develops from theca cells.			theca lutein cell|small lutein cell	
warmth sensing thermoreceptor cell	CL_0000591	A thermoreceptor cell that detects reduced temperatures.				
large luteal cell	CL_0000592	A large, progesterone secreting cell in the corpus luteum that develops from the granulosa cells.			granulosa lutein cell	granulosoluteocytus
androgen secreting cell	CL_0000593	A steroid hormone secreting cell that secretes androgen.				
skeletal muscle satellite cell	CL_0000594	An elongated, spindle-shaped, cell that is located between the basal lamina and the plasmalemma of a muscle fiber. These cells are mostly quiescent, but upon activation they divide to produce cells that generate new muscle fibers.	Skeletal muscle satellite cells are not traditionally referred to as myoblasts.  They are a heterogeneous population whose division, following activiation, contributes to the formation of skeletal muscle fibers and to maintenance of the skeletal muscle statelite cell population.			
enucleate erythrocyte	CL_0000595	An erythrocyte lacking a nucleus.		RBC|red blood cell		
sexual spore	CL_0000596	A spore formed following meiosis. Sometimes following meiosis, prospores may undergo one or more rounds of mitosis before they are fully mature.			meiotically-derived spore	
microconidium	CL_0000597	The smaller of two types of asexual spores formed by some fungi. An ovoid to pear-shaped asexual spore that contains very little cytoplasm and organelles, is uninucleate, and forms in vegetative hypae within a mycelium. Micronidia are extruded from the hyphal cell wall.				
pyramidal neuron	CL_0000598	Pyramidal neurons have a pyramid-shaped soma with the apex and an apical dendrite pointed toward the pial surface and other dendrites and an axon emerging from the base. The axons may have local collaterals but also project outside their  region. Pyramidal neurons are found in the cerebral cortex, the hippocampus, and the amygdala.			projection neuron|pyramidal cell|pyramidal neuron	
conidium	CL_0000599	An asexual, nonmotile spore formed by higher fungi; conidia are usually made from the side or tip of specialized sporogenous cells and do not form by progressive cleavage of the cytoplasm.				
heterokaryon	CL_0000600	A fungal cell with two or more genetically distinct nuclei.				
outer hair cell	CL_0000601	A mechanoreceptor in the organ of Corti. In mammals the outer hair cells are arranged in three rows which are further from the modiolus than the single row of inner hair cells. The motile properties of the outer hair cells may contribute actively to tuning the sensitivity and frequency selectivity of the cochlea.			cochlear outer hair cell	
pressoreceptor cell	CL_0000602	A receptor in the vascular system, particularly the aorta and carotid sinus, which is sensitive to stretch of the vessel walls.				
dikaryon	CL_0000603	A fungal cell with two genetically distinct haploid nuclei.				
retinal rod cell	CL_0000604	One of the two photoreceptor cell types of the vertebrate retina. In rods the photopigment is in stacks of membranous disks separate from the outer cell membrane. Rods are more sensitive to light than cones, but rod mediated vision has less spatial and temporal resolution than cone vision.				
fungal asexual spore	CL_0000605	A spore formed following mitosis or mitoses.				
macroconidium	CL_0000606	The larger of two types of asexual spores formed by some fungi; usually round or oblong.				
ascospore	CL_0000607	A thick walled spore that stores and protects one or more nuclei following sexual reproduction in an Ascomycete.				
zygospore	CL_0000608	A thick walled, sexual, resting spore formed by Zygomycetes; sometimes refers to the spore and the multi-layered cell wall that encloses the spore, the zygosporangium.				
vestibular hair cell	CL_0000609	A mechanoreceptor located in the acoustic maculae and the semicircular canals that mediates the sense of balance, movement, and head position. The vestibular hair cells are connected to accessory structures in such a way that movements of the head displace their stereocilia. This influences the membrane potential of the cells which relay information about movements via the vestibular part of the vestibulocochlear nerve to the brain stem.			vestibular receptor cell	
obsolete plant cell	CL_0000610		This term was obsoleted as it is redundant with PO:0009002 in the cell ontology (PO)			
eosinophil progenitor cell	CL_0000611		These cells are CD34-positive, CD45RA-negative, CD71-negative, and lineage-negative (CD2, CD3 epsilon, CD4, CD5, CD8a, CD14, CD19, CD20, integrin alpha-M, NCAM-1, SCA-1, Ly6G, Ly76).		EoP	eosinophil stem cell|CFU-Eo|colony forming unit eosinophil
eosinophilic myelocyte	CL_0000612	A eosinophil precursor in the granulocytic series, being a cell intermediate in development between a promyelocyte and a metamyelocyte;in this stage, production of primary granules is complete and eosinophil-specific granules has started. No nucleolus is present. These cells are integrin alpha-M-positive, CD13-positive, CD15-positive, CD16-negative, CD24-positive, and CD33-positive.				
basophil progenitor cell	CL_0000613	A progenitor cell committed to the basophil lineage. This cell lacks hematopoietic lineage markers (lin-negative) and is CD34-positive, T1/ST2-low, CD117-negative, and FceRIa-high. This cell also expresses Gata-1, Gata-2 and C/EBPa.	BaP are also CD13-low and integrin beta-7-low. They are lin-negative (CD2, CD3e, CD4, CD5, CD8, CD11b, CD14, CD19, CD20, ly6g, ly76, and NCAM-1). They also lack expression of mast cell protease 1 (MCP-1) and microphthalmia-associated transcription factor (mitf).		BaP	CFU-Bas|colony forming unit basophil|basophilic stem cell
basophilic myelocyte	CL_0000614	A basophil precursor in the granulocytic series, being a cell intermediate in development between a promyelocyte and a metamyelocyte; in this stage, production of primary granules is complete and basophil-specific granules has started. No nucleolus is present. Markers are being integrin alpha-M-positive, fucosyltransferase FUT4-positive, CD33-positive, CD24-positive, aminopeptidase N-positive.				
basidiospore	CL_0000615	A thick walled spore containing one or more haploid nuclei produced by sexual reproduction in an Basidiomycete; formed externally on extrusions of the basidium.				
obsolete sporangiospore	CL_0000616	OBSOLETE: A walled spore produced in a sporangium.				
GABAergic neuron	CL_0000617	A neuron that uses GABA as a vesicular neurotransmitter			GABA-ergic neuron	
sheath cell	CL_0000618					
support cell (sensu Nematoda)	CL_0000619					
obsolete zoospore	CL_0000620	OBSOLETE: A sporangiospore that is motile, having flagella.				
fusion competent myoblast	CL_0000621	A myoblast that is committed to a myotube-specific program of differentiation but not yet fused. It undergoes very limited additional proliferation. After fusion, it will take on a muscle identity specified by a `muscle founder cell` (CL:0008006).				
acinar cell	CL_0000622	A secretory cell that is grouped together with other cells of the same type to form grape shaped clusters known as acini (singular acinus).			acinic cell|acinous cell	
natural killer cell	CL_0000623	A lymphocyte that can spontaneously kill a variety of target cells without prior antigenic activation via germline encoded activation receptors and also regulate immune responses via cytokine release and direct contact with other cells.		null cell|large granular lymphocyte	NK cell	
CD4-positive, alpha-beta T cell	CL_0000624	A mature alpha-beta T cell that expresses an alpha-beta T cell receptor and the CD4 coreceptor.			CD4-positive, alpha-beta T lymphocyte|CD4-positive, alpha-beta T-cell|CD4-positive, alpha-beta T-lymphocyte	
CD8-positive, alpha-beta T cell	CL_0000625	A T cell expressing an alpha-beta T cell receptor and the CD8 coreceptor.			CD8-positive, alpha-beta T-cell|CD8-positive, alpha-beta T-lymphocyte|CD8-positive, alpha-beta T lymphocyte	
olfactory granule cell	CL_0000626	Granule cell that is part of the olfactory bulb.				
transporting cell	CL_0000627	A cell involved in transporting nutrients, minerals, water, gases and other chemicals between cells for a variety of purposes including conveying nutrition to other tissues, removing waste products from the tissues, conveying gases for respiration, distributing heat and repelling invasion of foreign substances.				
photosynthetic cell	CL_0000628	A cell that can perform photosynthesis, in which carbohydrates are synthesized from carbon dioxide and water, using light as the energy source.	see PMID:21177950, The making of a photosynthetic animal.			
storage cell	CL_0000629	A cell that is specialized to store a particular substance(s), which is(are) later released from the store for a particular purpose.				
supportive cell	CL_0000630	A cell whose primary function is to support other cell types.				
labyrinth supporting cell	CL_0000631	Cells forming a framework supporting the organ of Corti. Specific cells are those of Claudius, Deiters and Hensen.				
hepatic stellate cell	CL_0000632	A cell that is found in the perisinusoidal space of the liver that is capable of multiple roles including storage of retinol, presentation of antigen to T cells (including CD1d-restricted NKT cells), and upon activation, production of extracellular matrix components that can contribute to liver fibrosis. This activated state has a myofibroblast-like phenotype, though it's not clear in the literature if this is terminally differentiated. This cell type comprises approximately 8-15% of total cells in the liver.	Hepatic stellate cells are CD271-positive, desmin-positive, DDR-2-positive, GFAP-positive, synamin-positive, synaptophysin-positive, vimentin-positive, They are capable of producing angiotensin II, fibronectin, laminin, MMP-1, MMP-2, MMP-3, MMP-9, MMP-11, TGF-beta1, TIMP-1, TIMP-2, type I collagen, type III collagen, type IV collagen, and type VI collagen.		hepatic perisinusoidal cell|Ito cell|perisinusoidal cell	lipocyte|vitamin A-storing cells|fat-storing cell
Hensen cell	CL_0000633	A tall supporting cell that is arranged in rows adjacent to the last row of outer phalangeal cells. This cell type constitutes the outer border of the organ of Corti.			external limiting cell of organ of Corti|cell of Hensen|Hensen's cell	
Claudius cell	CL_0000634	A cuboidal cell which along with Boettcher's cells form the floor of the external spiral sulcus, external to the organ of Corti.			cell of Claudius|external supporting cell of vestibular epithelium	external supporting cell of Claudius
Deiter's cell	CL_0000635	The outer phalangeal cells of the organ of Corti. This cell holds the base of the hair cell in a cup-shaped depression.			Deiters cell|outer phalangeal cell	
Mueller cell	CL_0000636					
chromophil cell of anterior pituitary gland	CL_0000637	A cell that stains readily in the anterior pituitary gland.				
acidophil cell of pars distalis of adenohypophysis	CL_0000638	An acidophilic chromophil cell that of the anterior pituitary gland.			acidophil cell of pars anterior of adenohypophysis|pituitary alpha cell|acidophil of pars anterior of adenohypophysis|acidophil of pars distalis of adenohypophysis	
basophil cell of pars distalis of adenohypophysis	CL_0000639	A basophillic chromophil cell that of the anterior pituitary gland.			basophil cell of anterior lobe of hypophysis	beta cell|pituitary beta cell
chromophobe cell	CL_0000641	A cell that is resistant to stains.			chromophobic cell	
folliculostellate cell	CL_0000642	A supportive cell of the vertebrate pituitary that provides macromolecular transport and secretes hormones.				
Bergmann glial cell	CL_0000644	Type of radial astrocyte in the cerebellar cortex that have their cell bodies in the Purkinje cell layer and processes that extend into the molecular layer, terminating with bulbous endfeet at the pial surface. Bergmann glia express high densities of glutamate transporters that limit diffusion of the neurotransmitter glutamate during its release from synaptic terminals. Besides their role in early development of the cerebellum, Bergmann glia are also required for the pruning or addition of synapses.			Bergmann glial cell of cerebellum|Bergmann astrocyte	
pituicyte	CL_0000645	A cell with long processes running parallel to adjacent axons in the proximal infundibulum of the neurohypophysis. These processes form a three-dimensional network among the axons of the hypothalamic neurosecretory cells and are connected by gap junctions which provide for their metabolic coupling. This cell type constitutes most of the nonexcitable tissue in the neurohypophsis; function may include possibly acting as an intermediate in the modulation of oxytocin and vasopressin release. This cell type is highly variable in size and shape and commonly contain lipid droplets and deposits of lipochrome pigment.				
basal cell	CL_0000646	Undifferentiated; mitotic stem cell for other epithelial cell types; rounded or elliptical with little cytoplasm and few organelles; contain cytokeratin intermediate filament.				
multinucleated giant cell	CL_0000647	A phagocytic cell formed by the fusion of macrophages, occurs in chronic inflammatory responses to persistent microorganism such as M.tuberculosis, component of granulomas. Sometimes used to refer to megakaryocytes.	Role or process: Chronic infection, granulomatous inflammation. Consider also megakaryocyte (CL:0000556) as sometimes multinucleated giant cell is used to refer to this.		syncytial giant cell|multinucleate giant cell|macrophage polykaryon|foreign body giant cell|Langerhans giant cell	
kidney granular cell	CL_0000648	A smooth muscle cell that synthesizes, stores, and secretes the enzyme renin. This cell type are located in the wall of the afferent arteriole at the entrance to the glomerulus. While having a different origin than other kidney smooth muscle cells, this cell type expresses smooth muscle actin upon maturation.		juxtaglomerular cell	JG cell|renin secreting cell	
prickle cell	CL_0000649	A cell with delicate radiating processes known as desmosomes that form intercellular bridges between other cells of this type. This cell type forms the stratum spinosum (prickle cell layer). A function of this cell is to generate keratin.			prickle cell of epidermis	
mesangial cell	CL_0000650	A cell type that encapsulates the capillaries and venules in the kidney. This cell secretes mesangial matrix that provides the structural support for the capillaries.	Do all of these cells really develop from some mesenchymal stem cell?		kidney mesangial cell	
mucous neck cell	CL_0000651	A mucus-secreting cell, with numerous apical secretory vesicles containing mucins; nucleus are basally displaced; numerous at the neck of mucus secreting glands		neck cell		
pinealocyte	CL_0000652	This cell type produces and secretes melatonin and forms the pineal parenchyma. Extending from each cell body, which has a spherical, oval or lobulated mucleus, are one or more tortuous basophilic processes, containing parallel microtubules known as synaptic ribbons. These processes end in expanded terminal buds near capillaries or less, frequently, ependymal cells of the pineal recess. The terminal buds contain granular endoplasmic reticulum, mitochondria and electron-dense cored vesicles, which store monoamines and polypeptide hormones, release of which appears to require sympathetic innervation.				
glomerular visceral epithelial cell	CL_0000653	A glomerular visceral epithelial cell is a specialized kidney epithelial cell that contains "feet" that interdigitate with the "feet" of other glomerular epithelial cells.	GO has podocyte as a related synonym due to concern this may refer to more than one cell type. However, this did not turn up in my search. If podocyte does refer to more than one cell type, then we should classify the synonym to 'related'[tfm].	epithelial cell of visceral layer of glomerular capsule	podocyte|glomerular podocyte	
primary oocyte	CL_0000654	A primary oocyte is an oocyte that has not completed female meosis I.				primary oogonium
secondary oocyte	CL_0000655	A secondary oocyte is an oocyte that has not completed meiosis II.				primary oogonium
primary spermatocyte	CL_0000656	A diploid cell that has derived from a spermatogonium and can subsequently begin meiosis and divide into two haploid secondary spermatocytes.				
secondary spermatocyte	CL_0000657	One of the two haploid cells into which a primary spermatocyte divides, and which in turn gives origin to spermatids.				
cuticle secreting cell	CL_0000658	An epithelial cell that secretes cuticle.				
eggshell secreting cell	CL_0000659	An extracellular matrix secreting cell that secretes eggshell.				
glycocalyx secreting cell	CL_0000660	An extracellular matrix secreting cell that secretes glycocalyx.				
distal tip cell (sensu Nematoda)	CL_0000661					
neuroglioblast (sensu Nematoda)	CL_0000662					
valve cell	CL_0000663					
closable valve cell	CL_0000664					
permanently open valve cell	CL_0000665					
fenestrated cell	CL_0000666				window cell	
collagen secreting cell	CL_0000667	An extracellular matrix secreting cell that secretes collagen.				
obsolete parenchymal cell	CL_0000668	OBSOLETE: The cell characteristic of an organ, as distinguished from associated connective or supporting tissues.	OBSOLETE: Term was made obsolete to avoid confusion with plant parenchymal cell. Cell type has a similar but slightly different meaning in botany (plants): see PO:0000074.			
pericyte cell	CL_0000669	An elongated, contractile cell found wrapped about precapillary arterioles outside the basement membrane. Pericytes are present in capillaries where proper adventitia and muscle layer are missing (thus distingushing this cell type from adventitial cells). They are relatively undifferentiated and may become fibroblasts, macrophages, or smooth muscle cells.	Pericytes are CD10-positive, CD13-positive, CD31-negative, CD45-negative, CD106-positive, CD117-negative, CD140-positive, CD144-negative, CD146-positive, CD271-positive, CD325-positive, NG2-positive, RGS5-positive, SMA-positive, and desmin-positive. A subpopulation is CD248-positive. They are also capable of producing angiopoietin 1, CXCL12, TGF-beta, and VEGF-A.		ARC|cell of Rouget|pericyte|adventitial reticular cell|pericyte of Rouget	adventitial cell
primordial germ cell	CL_0000670	A primordial germ cell is a diploid germ cell precursors that transiently exist in the embryo before they enter into close association with the somatic cells of the gonad and become irreversibly committed as germ cells.			primitive germ cell|gonocyte	
centripetally migrating follicle cell	CL_0000671					
obsolete tracheary element	CL_0000672	Obsolete. Use PO:0000290 from Plant Ontology instead. A water conducting cell, tracheid or vessel member.	replaced_by: PO:0000290			
Kenyon cell	CL_0000673					
interfollicle cell	CL_0000674				fly stalk cell	
female gamete	CL_0000675	A mature sexual reproductive cell of the female germline.				
cap cell	CL_0000676					
gut absorptive cell	CL_0000677	Cell of the intestinal epithelium with a brush border made up of many parallel packed microvilli; associated with absorption, particularly of macromolecules.				
commissural neuron	CL_0000678					
glutamatergic neuron	CL_0000679					
muscle precursor cell	CL_0000680	A non-terminally differentiated cell that is capable of developing into a muscle cell.				
radial glial cell	CL_0000681	A cell present in the developing CNS. Functions as both a precursor cell and as a scaffold to support neuronal migration.	Unlike that of mammals, the brain of adult teleost fish exhibits an intense and widespread neurogenic activity as a result of the persistence of radial glial cells acting as neural progenitors throughout life.			
M cell of gut	CL_0000682	An absorptive cell of the gut epithelium that endocytoses microorganisms and intact macromolecules from the gut lumen and transports them to the subepithelial space where they are presented to antigen-presenting cells and lymphocytes.	Should double check and see if M cells are particular to a specific region.	M cell	microfold cell|M-cell	
ependymoglial cell	CL_0000683	A cell that transports hormones from neurosecretory cells. This nerve cell is characterized by bipolar shape and endfeet that contact a basal lamina around blood vessels, and/or the pia mater or vitreous body of the eye and additionally contact the ventricular surface or sub-retinal space.			ependymal astrocyte	
littoral cell of liver	CL_0000684					
obsolete meristematic cell	CL_0000685	Obsolete. Use PO:0004010 from Plant Ontology instead. A cell synthesizing protoplasm and producing new cells by division and with only a primary cell wall.	replaced_by: PO:0004010			
cerebrospinal fluid secreting cell	CL_0000686	A columnar/cuboidal epithelial cell that secretes cerebrospinal fluid.				
R1 photoreceptor cell	CL_0000687				R1 cell	
perijunctional fibroblast	CL_0000688	A fibroblast-like cell that provides support at neuromuscular junctions in vertebrates and are localized outside the synaptic basal lamina.				
myoendocrine cell	CL_0000689	A cell with both myofibrils and secretory granules.				
R2 photoreceptor cell	CL_0000690				R2 cell	
stellate interneuron	CL_0000691					
terminal Schwann cell	CL_0000692	A neuroglial cell of the peripheral nervous system inside the basal lamina of the neuromuscular junction providing chemical and physical support to the synapse.		Schwann cell		
neuroglioform cell	CL_0000693	A stellate interneuron having 7-10 dendrites that may branch.			spiderweb cell	
R3 photoreceptor cell	CL_0000694				R3 cell	
Cajal-Retzius cell	CL_0000695	One of a transient population of pioneering neurons in the cerebral cortex. These cells are slender bipolar cells of the developing marginal zone. One feature of these cells in mammals is that they express the Reelin gene.				
PP cell	CL_0000696	A cell that stores and secretes pancreatic polypeptide hormone.			type F enteroendocrine cell	
R4 photoreceptor cell	CL_0000697				R4 cell	
obsolete paraganglial cell	CL_0000698					
paraganglial type 1 cell	CL_0000699	A type of glomus or chief cell, is sensitive to hypoxia and produce catecholamines.				
dopaminergic neuron	CL_0000700	A neuron that releases dopamine as a neurotransmitter.			dopaminergic cell	
paraganglia type 2 cell	CL_0000701	Supports paraganglial type 1 cell.				
R5 photoreceptor cell	CL_0000702				R5 cell	
sustentacular cell	CL_0000703	Cell that provides some or all mechanical, nutritional and phagocytic support to their neighbors.				
endothelial tip cell	CL_0000704	A specialized endothelial cell that senses extracellular signals and guides the directed growth of blood vessels.				
R6 photoreceptor cell	CL_0000705				R6 cell	
choroid plexus epithelial cell	CL_0000706	Specialized ependymal cell that produces the cerebrospinal fluid from the blood and secretes it into the lumen of the brain and spinal chord.			epithelial cell of choroid plexus	
R7 photoreceptor cell	CL_0000707				R7 cell	
leptomeningeal cell	CL_0000708	Stromal cell that forms the internal covering of the vertebrate brain and produces ECM for this and the choroid plexus.				leptomemingeal cell
R8 photoreceptor cell	CL_0000709				R8 cell	
neurecto-epithelial cell	CL_0000710	Epithelial cells derived from neural plate and neural crest.	The term "neuroepithelial cell" is used to describe both this cell type and sensory epithelial cell (CL:0000098).	neuroepithelial cell		
cumulus cell	CL_0000711	Cumulus cell is a specialized granulosa cell that surrounds and nourishes the oocyte. This cell-type surrounds the fully-grown oocyte to form a cumulus-oocyte complex (abbr. COC). The terms cumulus oophorus cells, cumulus granulosa cells, cumulus oophorous granulosa cells, granulosa-cumulus cells are used to make a distinction between this cell and the other functionally different subpopulation of granulosa cells at the wall of the Graafian follicle.				
stratum granulosum cell	CL_0000712					
corona radiata cell	CL_0000713					
embryonic crystal cell	CL_0000715					
lymph gland crystal cell	CL_0000716					
fusimotor neuron	CL_0000717	A subset of motor neurons that innervates intrafusal muscle fibers and has small diameter axons.				
compound eye cone cell	CL_0000718					cone cell (sensu Endopterygota)
posterior cone cell (sensu Endopterygota)	CL_0000719					
anterior cone cell (sensu Endopterygota)	CL_0000720					
equatorial cone cell (sensu Endopterygota)	CL_0000721					
cystoblast	CL_0000722					
somatic stem cell	CL_0000723	A stem cell that can give rise to cell types of the body other than those of the germ-line.				
heterocyst	CL_0000724	 A differentiated cell that functions as a site of nitrogen fixation under aerobic conditions.				
nitrogen fixing cell	CL_0000725					
chlamydospore	CL_0000726	An asexual 1-celled spore (primarily for perennation, not dissemination). Originates endogenously and singly within part of a pre-existing cell by the contraction of the protoplast. Possesses an inner secondary and often thickened hyaline or brown wall, usually impregnated with hydrophobic material.	Considering obsoleting as sometimes used to refer to protozoans too. But reference indicates term was intended for fungus.			
primary pigment cell	CL_0000727					
secondary pigment cell	CL_0000728					
tertiary pigment cell	CL_0000729					
leading edge cell	CL_0000730	A cell at the front of a migrating epithelial sheet.				
urothelial cell	CL_0000731	A cell of a layer of transitional epithelium in the wall of the bladder, ureter, and renal pelvis, external to the lamina propria.				
amoeboid cell	CL_0000732					
lymph gland plasmatocyte	CL_0000733					
embryonic gland plasmatocyte	CL_0000734					
lymph gland hemocyte	CL_0000735					
embryonic gland hemocyte	CL_0000736					
striated muscle cell	CL_0000737	Muscle cell which has as its direct parts myofilaments organized into sarcomeres.				
leukocyte	CL_0000738	An achromatic cell of the myeloid or lymphoid lineages capable of ameboid movement, found in blood or other tissue.			white blood cell|leucocyte|immune cell	
retinal ganglion cell	CL_0000740	The set of neurons that receives neural inputs via bipolar, horizontal and amacrine cells. The axons of these cells make up the optic nerve.			gangliocyte|ganglion cell of retina|RGC	
